text,rows,predicted,confidence,example_name
chw byp vlv pos,1,bypassValveFb,0.5469353199005127,CHWBypVlvPos
chw byp vlv cmd,1,condBypassValve,0.7104442119598389,CHWBypVlvCmd
plnt hw flw tot,1,heatingCoilEnteringTemp,0.9342668056488037,PlntHWFlwTot
ph vlv,1,bypassValve,0.9769614338874817,PHVlv
ph sp,1,zoneVOCMinSp,0.585761547088623,PHSp
p12 b sts,1,bypassPressure,0.6989513039588928,P12BSts
p12 b spd cmd,1,condPumpSpeed,0.6563097834587097,P12BSpdCmd
p12 b cmd,1,buildingPressure,0.9627177119255066,P12BCmd
pri chws prs,1,evapLeavingTemp,0.8217448592185974,PriCHWSPrs
pri chwr prs,1,evapEnteringTemp,0.997992753982544,PriCHWRPrs
power factor,1,kFactor,0.4808497130870819,PowerFactor
plnt hwst,1,heatingCoilEnteringTemp,0.9913193583488464,PlntHWST
cir pmp cmd,1,condPump,0.9973095655441284,CirPmp3Cmd
chws flw sp,1,evapLeavingFlow,0.9703617095947266,CHWSFlwSp
chws ena,1,evapLeavingTemp,0.9101073741912842,CHWSEna
chws byp vlv cmd,1,coolingValve,0.6378291845321655,CHWSBypVlvCmd
chwp spd cmd,1,evapPumpEnable,0.8059685826301575,CHWPSpdCmd
chw prs sp,1,chillerEnableSp,0.2938431203365326,CHWPrsSp
chw prs,1,coolingStatus,0.9254767298698425,CHWPrs
chw flow,1,evapEnteringFlow,0.9819589257240295,CHWFlow
rad vlv out,1,dischargeFlowStatus,0.6884601712226868,RadVlvOut
rad pmp sts,1,heatingCoilPumpStatus,0.901911735534668,RadPmpSts
rad pmp cmd,1,condPump,0.9711934924125671,RadPmpCmd
rad flr flw,1,dischargeFlow,0.5941812992095947,RadFlrFlw
ra dmp sts,1,returnDamper,0.9757815003395081,RADmpSts
ct ff cmd,1,condAlarm,0.243834987282753,CT1FFCmd
ct j sys ena,1,coolingEnable,0.6811696887016296,CT1JSysEna
ct j byp vlv cmd,1,condBypassValve,0.9982353448867798,CT1JBypVlvCmd
ct j bsn htr cmd,1,heatingEnable,0.9391513466835022,CT1JBsnHtrCmd
ct iso vlv,1,dischargeIsoDamper,0.9948170781135559,CT1IsoVlv
ct if sts,1,coolingStatus,0.5730639100074768,CT1IFSts
ct if spd,1,coolingEnableSp,0.523698627948761,CT1IFSpd
ct if cmd,1,coolingEnable,0.9429388046264648,CT1IFCmd
ct icws tmp sp,1,condLeavingTemp,0.9435120224952698,CT1ICWSTmpSp
ct icws temp,1,condLeavingTemp,0.8456230163574219,CT1ICWSTemp
ct i sys ena,1,compEnable,0.5423957705497742,CT1ISysEna
ct i bsn htr cmd,1,buildingPressure,0.6580483317375183,CT1IBsnHtrCmd
ct htr sts,1,heatingStatus,0.9989346861839294,CT2HtrSts
ct hf sts,1,heatingStatus,0.9898808002471924,CT1HFSts
ct hf spd,1,dischargeFanFrequency,0.9575880169868469,CT1HFSpd
ct hf cmd,1,heatingEnable,0.9963473677635193,CT1HFCmd
sec chws tmp sp,1,evapLeavingTemp,0.8347341418266296,SecCHWSTmpSp
sec chw pmp e sts,1,evapPumpStatus,0.9986593723297119,SecCHWPmp2ESts
sec chw pmp e spd,1,evapPumpEnable,0.9954244494438171,SecCHWPmp2ESpd
sec chw pmp d spd,1,evapPumpEnable,0.8230871558189392,SecCHWPmp2DSpd
sec chw pmp d cmd,1,evapPumpEnable,0.9980935454368591,SecCHWPmp2DCmd
sec chw pmp c spd,1,evapPumpEnable,0.8270643949508667,SecCHWPmp2CSpd
sec chw pmp b spd,1,evapPumpEnable,0.9484732747077942,SecCHWPmp2BSpd
sec chw pmp a spd,1,evapPumpStatus,0.800677478313446,SecCHWPmp2ASpd
sec chw dif prs,1,coolingValve,0.8277828097343445,SecCHWDifPrs
schws prs,1,evapLeavingFlow,0.6467498540878296,SCHWSPrs
ct hcws temp,1,heatingCoilLeavingTemp,0.7404446601867676,CT1HCWSTemp
ct h sys ena,1,heatingEnable,0.3011109530925751,CT1HSysEna
ct h byp vlv cmd,1,condBypassValve,0.9569745063781738,CT1HBypVlvCmd
ct h bsn htr cmd,1,heatingEnable,0.907859206199646,CT1HBsnHtrCmd
ct gf sts,1,bypassFanStatus,0.4065243601799011,CT1GFSts
ct gf spd,1,condPumpSpeed,0.7855392694473267,CT1GFSpd
ct gf cmd,1,condPump,0.9522436857223511,CT1GFCmd
ct gcws tmp sp,1,condLeavingTemp,0.5083778500556946,CT1GCWSTmpSp
ct gcws temp,1,evapLeavingTemp,0.9669166207313538,CT1GCWSTemp
ct g sys ena,1,coolingEnable,0.7679502964019775,CT1GSysEna
ct g byp vlv cmd,1,condBypassValve,0.9882311224937439,CT1GBypVlvCmd
ct g bsn htr cmd,1,heatingEnable,0.9875735640525818,CT1GBsnHtrCmd
ct ff sts,1,wheelReturnFanStatus,0.21881282329559326,CT1FFSts
ct ff spd,1,dischargeFanSpeed,0.5941214561462402,CT1FFSpd
sfvfd out,1,dischargeFanSpeed,0.9977879524230957,SFVFDOut
sf,1,dischargeFan,0.9981673955917358,SF
chlr ev dif prs,1,dischargeDamperOvr,0.8925477266311646,Chlr3EvDifPrs
chlr cnd tmp,1,evapEnteringTemp,0.6537265181541443,Chlr3CndTmp
chlr cnd dif prs,1,coolingValve,0.5857186913490295,Chlr3CndDifPrs
bldg hwst,1,heatingCoilLeavingTemp,0.4133751094341278,BldgHWST
ct fcws tmp sp,1,condLeavingTemp,0.30221256613731384,CT1FCWSTmpSp
ct fcws temp,1,evapLeavingTemp,0.9640761613845825,CT1FCWSTemp
ct fan cmd,1,dischargeFan,0.7313969135284424,CT2FanCmd
ct f sys ena,1,exhaustFanEnable,0.5275580286979675,CT1FSysEna
ct f byp vlv cmd,1,condBypassValve,0.9977655410766602,CT1FBypVlvCmd
ct f bsn htr cmd,1,heatingEnable,0.6787962317466736,CT1FBsnHtrCmd
ct ef sts,1,coolingStatus,0.33062678575515747,CT1EFSts
ct ef spd,1,dischargeFanMotorTemp,0.9162176251411438,CT1EFSpd
ct ef cmd,1,condAlarm,0.28838980197906494,CT1EFCmd
ct ecws tmp sp,1,condLeavingTemp,0.6746299266815186,CT1ECWSTmpSp
ct ecws temp,1,evapLeavingTemp,0.9154571890830994,CT1ECWSTemp
ct e sys ena,1,dischargeEnthalpy,0.5225310325622559,CT1ESysEna
ct e byp vlv cmd,1,condBypassValve,0.9335491061210632,CT1EBypVlvCmd
uv rad sts,1,heatingCoilPumpStatus,0.9871982932090759,UVRadSts
uv rad,1,dischargeFlow,0.933315634727478,UVRad
blr rm co lvl,1,zoneCO,0.9607979655265808,BlrRmCOLvl
vfd fbk,1,heatingCoilPumpStatus,0.9327574968338013,VFDFbk
