text,context,targets,resolution
chwrt,,"secEnteringTemp (1; rows 1, sites 1) | evapEnteringTemp (1; rows 0, sites 0)",secEnteringTemp
chw r temp,,"evapEnteringTemp (2; rows 1, sites 1) | secEnteringTemp (1; rows 1, sites 1)",evapEnteringTemp
chws t,,"evapLeavingTemp (4.41421; rows 6, sites 2) | secLeavingTemp (3; rows 5, sites 2)",evapLeavingTemp
chw sup temp,,"evapLeavingTemp (5; rows 0, sites 0) | secLeavingTemp (1; rows 1, sites 1)",evapLeavingTemp
chws temp,,"secLeavingTemp (2.82843; rows 4, sites 2) | priLeavingTemp (1; rows 1, sites 1) | evapLeavingTemp (1; rows 0, sites 0)",secLeavingTemp
chill water supply temp,,"priLeavingTemp (1; rows 1, sites 1) | evapLeavingTemp (1; rows 0, sites 0)",priLeavingTemp
chw sup t,,"evapLeavingTemp (3; rows 0, sites 0) | secLeavingTemp (1; rows 1, sites 1)",evapLeavingTemp
chw sup tmp,,"evapLeavingTemp (2; rows 0, sites 0) | priLeavingTemp (1; rows 1, sites 1) | secLeavingTemp (1; rows 1, sites 1)",evapLeavingTemp
chws tmp,,"secLeavingTemp (8.8411; rows 24, sites 4) | priLeavingTemp (5.3589; rows 20, sites 2) | evapLeavingTemp (3.23607; rows 5, sites 1)",secLeavingTemp
hws temp,,"secLeavingTemp (2.82843; rows 4, sites 2) | heatingCoilLeavingTemp (2; rows 0, sites 0) | heatingCoilEnteringTemp (1; rows 1, sites 1)",secLeavingTemp
hws t,,"secLeavingTemp (3.73205; rows 7, sites 2) | priEnteringTemp (1; rows 1, sites 1) | heatingCoilLeavingTemp (1; rows 0, sites 0)",secLeavingTemp
hw sup temp,,"secLeavingTemp (1; rows 1, sites 1) | heatingCoilLeavingTemp (1; rows 0, sites 0)",secLeavingTemp
hw supply temp,,"secLeavingTemp (1; rows 1, sites 1) | heatingCoilLeavingTemp (1; rows 0, sites 0)",secLeavingTemp
hot water supply temp,,"priLeavingTemp (1; rows 1, sites 1) | heatingCoilLeavingTemp (1; rows 0, sites 0)",priLeavingTemp
hw sup t,,"secLeavingTemp (1.73205; rows 3, sites 1) | heatingCoilLeavingTemp (1; rows 0, sites 0)",secLeavingTemp
boiler supply temp,,"leavingTemp (2.44949; rows 6, sites 1) | heatingCoilLeavingTemp (1; rows 0, sites 0)",leavingTemp
hwr temp,,"secEnteringTemp (2.82843; rows 4, sites 2) | heatingCoilEnteringTemp (2; rows 0, sites 0) | heatingCoilLeavingTemp (1; rows 1, sites 1)",secEnteringTemp
hwr t,,"secEnteringTemp (2.73205; rows 4, sites 2) | priLeavingTemp (1; rows 1, sites 1) | heatingCoilEnteringTemp (1; rows 0, sites 0)",secEnteringTemp
hw return temp,,"heatingCoilEnteringTemp (2; rows 0, sites 0) | secEnteringTemp (1; rows 1, sites 1)",heatingCoilEnteringTemp
hot water return temp,,"priEnteringTemp (1; rows 1, sites 1) | heatingCoilEnteringTemp (1; rows 0, sites 0)",priEnteringTemp
boiler return temp,,"enteringTemp (2.44949; rows 6, sites 1) | priEnteringTemp (1.73205; rows 3, sites 1) | heatingCoilEnteringTemp (1; rows 0, sites 0)",enteringTemp
chws flow,,"evapLeavingFlow (2; rows 0, sites 0) | priLeavingFlow (1; rows 1, sites 1) | secEnteringFlow (1; rows 1, sites 1) | secLeavingFlow (1; rows 1, sites 1)",evapLeavingFlow
chwp cmd,,"priPump (3.4641; rows 6, sites 2) | evapPumpEnable (2; rows 0, sites 0) | evapPump (1.73205; rows 3, sites 1) | secPump (1; rows 1, sites 1)",priPump
chw pmp cmd,,"secPump (8.88347; rows 27, sites 3) | evapPump (2; rows 4, sites 1) | evapPumpEnable (2; rows 0, sites 0) | coolingCoilPump (1; rows 1, sites 1)",secPump
chwp enable,,"secPump (1.41421; rows 2, sites 1) | evapPumpEnable (1; rows 0, sites 0)",secPump
chwp en,,"secPumpEnable (1.41421; rows 2, sites 1) | evapPumpEnable (1; rows 0, sites 0)",secPumpEnable
chw pmp ena,,"priPump (1; rows 1, sites 1) | secPumpEnable (1; rows 1, sites 1) | evapPumpEnable (1; rows 0, sites 0)",DROPPED (tie)
chwp ss,,"evapPumpEnable (2; rows 0, sites 0) | secPump (1.41421; rows 2, sites 1)",evapPumpEnable
chwp sts,,"secPumpStatus (4.18154; rows 9, sites 2) | priPumpStatus (2; rows 4, sites 1) | evapPumpStatus (2; rows 0, sites 0)",secPumpStatus
chwp status,,"secPumpStatus (1.41421; rows 2, sites 1) | evapPumpStatus (1; rows 0, sites 0)",secPumpStatus
chw pump status,,"secPumpStatus (1.41421; rows 2, sites 1) | evapPumpStatus (1; rows 0, sites 0)",secPumpStatus
chw pmp sts,,"secPumpStatus (8.96822; rows 28, sites 3) | evapPumpStatus (4; rows 4, sites 1) | priPumpStatus (3.64575; rows 8, sites 2)",secPumpStatus
chw pump sts,,"coolingCoilPumpStatus (2; rows 4, sites 1) | secPumpStatus (1.73205; rows 3, sites 1) | evapPumpStatus (1; rows 0, sites 0)",coolingCoilPumpStatus
chw pmp fdbk,,"secPumpSpeedFb (1.73205; rows 3, sites 1) | evapPumpStatus (1; rows 0, sites 0)",secPumpSpeedFb
effclg sp,,"occupiedCoolSp (19.5394; rows 523, sites 2) | zoneCoolSp (7.58258; rows 25, sites 2)",occupiedCoolSp
rm clg sp,,"zoneTempSp (1; rows 1, sites 1) | zoneCoolSp (1; rows 0, sites 0)",zoneTempSp
eff clg sp,,"zoneCoolSp (12; rows 533, sites 2) | occupiedCoolSp (5; rows 25, sites 1)",zoneCoolSp
effhtg sp,,"occupiedHeatSp (19.5394; rows 523, sites 2) | zoneHeatSp (6.31662; rows 15, sites 2)",occupiedHeatSp
eff htg sp,,"zoneHeatSp (12; rows 504, sites 2) | occupiedHeatSp (3.16228; rows 10, sites 1)",zoneHeatSp
min oa flow,,"minOutsideFlow (2; rows 0, sites 0) | outsideFlowMinSp (1.73205; rows 3, sites 1)",minOutsideFlow
oa min flow,,"outsideFlow (1.41421; rows 2, sites 1) | minOutsideFlow (1; rows 0, sites 0)",outsideFlow
min oa cfm sp,,"minOutsideFlowSp (1; rows 0, sites 0) | minOutsideFlow (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa min cfm,,"outsideFlow (2; rows 4, sites 1) | minOutsideFlow (1; rows 0, sites 0)",outsideFlow
oa min flow sp,,"minOutsideFlowSp (2; rows 0, sites 0) | minOutsideFlow (1; rows 0, sites 0)",minOutsideFlowSp (override)
minoa flow sp,,"minOutsideFlowSp (1; rows 0, sites 0) | minOutsideFlow (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa min setting,,"minOutsideFlow (1; rows 0, sites 0) | minOutsideFlowSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa min cfm setpt,,"minOutsideFlow (1; rows 0, sites 0) | minOutsideFlowSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa min cfm target,,"minOutsideFlow (1; rows 0, sites 0) | minOutsideFlowSp (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa cfm min sp,,"minOutsideFlowSp (1; rows 0, sites 0) | minOutsideFlow (1; rows 0, sites 0)",minOutsideFlowSp (override)
oa flow min sp,,"minOutsideFlowSp (3; rows 0, sites 0) | outsideFlowMinSp (2.64575; rows 7, sites 1)",minOutsideFlowSp
ma dmpr,,"outsideDamper (3.64575; rows 8, sites 2) | mixedDamper (2; rows 0, sites 0)",outsideDamper
ma dmp,,"outsideDamper (9.89949; rows 98, sites 1) | mixedDamper (2; rows 1, sites 1) | exhaustDamper (1; rows 1, sites 1)",outsideDamper
oa humidity,,"outsideHumidity (6; rows 2, sites 2) | outsideHumidty (1; rows 1, sites 1)",outsideHumidity
max flow cool sp,,"dischargeFlowCoolMaxSp (8.74597; rows 60, sites 1) | dischargeFlowMaxSp (1; rows 1, sites 1)",dischargeFlowCoolMaxSp
min flow heat sp,,"dischargeFlowHeatMinSp (8.48331; rows 56, sites 1) | dischargeFlowHeatSp (1; rows 1, sites 1)",dischargeFlowHeatMinSp
unit status,,"unitStatus (2; rows 0, sites 0) | chillerStatus (1; rows 1, sites 1)",unitStatus
unit on off,,"dischargeFan (3.16228; rows 10, sites 1) | unitStatus (1; rows 0, sites 0)",dischargeFan
damper ovr,,"damper (1; rows 1, sites 1) | dischargeDamperOvr (1; rows 0, sites 0)",damper
zone voc alarm,,"zoneVOCLevelAlarm (6; rows 0, sites 0) | zoneVOCAlarm (4; rows 0, sites 0)",zoneVOCLevelAlarm (override)
zn voc alm,,"zoneVOCLevelAlarm (3; rows 0, sites 0) | zoneVOCAlarm (2; rows 0, sites 0)",zoneVOCLevelAlarm (override)
zone voc min setpoint,,"zoneVOCMinSp (6; rows 0, sites 0) | zoneVOCLoSp (1; rows 0, sites 0)",zoneVOCMinSp (override)
zn voc min sp,,"zoneVOCMinSp (6; rows 0, sites 0) | zoneVOCLoSp (1; rows 0, sites 0)",zoneVOCMinSp (override)
zn voc min setpoint,,"zoneVOCMinSp (4; rows 0, sites 0) | zoneVOCLoSp (1; rows 0, sites 0)",zoneVOCMinSp (override)
space voc min sp,,"zoneVOCMinSp (6; rows 0, sites 0) | zoneVOCLoSp (1; rows 0, sites 0)",zoneVOCMinSp (override)
zone voc max setpoint,,"zoneVOCMaxSp (6; rows 0, sites 0) | zoneVOCHiSp (1; rows 0, sites 0)",zoneVOCMaxSp (override)
zn voc max sp,,"zoneVOCMaxSp (6; rows 0, sites 0) | zoneVOCHiSp (1; rows 0, sites 0)",zoneVOCMaxSp (override)
zn voc max setpoint,,"zoneVOCMaxSp (4; rows 0, sites 0) | zoneVOCHiSp (1; rows 0, sites 0)",zoneVOCMaxSp (override)
space voc max sp,,"zoneVOCMaxSp (6; rows 0, sites 0) | zoneVOCHiSp (1; rows 0, sites 0)",zoneVOCMaxSp (override)
zn purge active,,"zonePurgeStatus (1; rows 0, sites 0) | zonePurge (1; rows 0, sites 0)",DROPPED (override)
zone purge status,,"zonePurgeStatus (3; rows 0, sites 0) | zonePurge (1; rows 0, sites 0)",zonePurgeStatus (override)
zn purge stat,,"zonePurgeStatus (2; rows 0, sites 0) | zonePurge (1; rows 0, sites 0)",zonePurgeStatus (override)
space press min setpoint,,"zonePressureMinSp (1; rows 0, sites 0) | zonePressureLoSp (1; rows 0, sites 0)",DROPPED (override)
space press max setpoint,,"zonePressureMaxSp (1; rows 0, sites 0) | zonePressureHiSp (1; rows 0, sites 0)",DROPPED (override)
particulate zn,,"zonePM25 (1; rows 0, sites 0) | zonePM4 (1; rows 0, sites 0)",zonePM25
zn pm,,"zonePM1 (1; rows 0, sites 0) | zonePM10 (1; rows 0, sites 0)",zonePM1
rht vlv pos,,"heatingValve (20; rows 487, sites 2) | reHeatingValveFb (4; rows 0, sites 0)",heatingValve
rh vlv pos,,"reHeatingValveFb (4; rows 0, sites 0) | heatingValve (1; rows 1, sites 1)",reHeatingValveFb
reheat pos,,"reHeatingValve (10; rows 302, sites 1) | reHeatingValveFb (4; rows 0, sites 0)",reHeatingValve
htg dmd,,"zoneHeatingDemand (5; rows 0, sites 0) | heatingDemand (1; rows 1, sites 1)",zoneHeatingDemand
htg req,,"zoneHeatingReq (9.24264; rows 18, sites 1) | zoneHeatingDemand (1; rows 0, sites 0)",zoneHeatingReq (override)
heating request,,"zoneHeatingReq (5; rows 0, sites 0) | zoneHeatingDemand (1; rows 0, sites 0)",zoneHeatingReq (override)
htg request,,"zoneHeatingReq (4; rows 0, sites 0) | zoneHeatingDemand (4; rows 0, sites 0)",zoneHeatingReq (override)
htgrequest,,"zoneHeatingDemand (1; rows 0, sites 0) | zoneHeatingReq (1; rows 0, sites 0)",zoneHeatingReq (override)
heating req,,"zoneHeatingReq (5; rows 0, sites 0) | zoneHeatingDemand (4; rows 0, sites 0)",zoneHeatingReq (override)
zn htg req,,"zoneHeatingReq (4; rows 0, sites 0) | zoneHeatingDemand (4; rows 0, sites 0)",DROPPED (override)
zone heating request,,"zoneHeatingReq (4; rows 0, sites 0) | zoneHeatingDemand (4; rows 0, sites 0)",DROPPED (override)
clg dmd,,"zoneCoolingDemand (5; rows 0, sites 0) | coolingDemand (2.64575; rows 7, sites 1)",zoneCoolingDemand
cooling demand,,"coolingValve (10; rows 186, sites 1) | zoneCoolingDemand (5; rows 0, sites 0)",coolingValve
clg req,,"zoneCoolingReq (9.24264; rows 18, sites 1) | zoneCoolingDemand (1; rows 0, sites 0)",zoneCoolingReq (override)
cooling request,,"zoneCoolingReq (5; rows 0, sites 0) | zoneCoolingDemand (1; rows 0, sites 0)",zoneCoolingReq (override)
clg request,,"zoneCoolingReq (4; rows 0, sites 0) | zoneCoolingDemand (4; rows 0, sites 0)",zoneCoolingReq (override)
clgrequest,,"zoneCoolingDemand (1; rows 0, sites 0) | zoneCoolingReq (1; rows 0, sites 0)",zoneCoolingReq (override)
cooling req,,"zoneCoolingReq (5; rows 0, sites 0) | zoneCoolingDemand (4; rows 0, sites 0)",zoneCoolingReq (override)
zn clg req,,"zoneCoolingReq (4; rows 0, sites 0) | zoneCoolingDemand (4; rows 0, sites 0)",DROPPED (override)
zone cooling request,,"zoneCoolingReq (4; rows 0, sites 0) | zoneCoolingDemand (4; rows 0, sites 0)",DROPPED (override)
vlv,,"priValve (1.41421; rows 2, sites 1) | priValveOneThird (1.41421; rows 2, sites 1) | heatingValve (1; rows 1, sites 1)",DROPPED (tie)
v,,"priValveOneThird (1; rows 1, sites 1) | priValveTwoThird (1; rows 1, sites 1)",DROPPED (tie)
ac set pt,,"dischargeTempSp (4.12311; rows 17, sites 1) | zoneTempSp (1; rows 1, sites 1)",dischargeTempSp
act cool sp,,"zoneCoolSp (7.34847; rows 54, sites 1) | zoneTempSp (1.41421; rows 2, sites 1) | occupiedCoolSp (1; rows 1, sites 1)",zoneCoolSp
act heat sp,,"zoneHeatSp (6.16441; rows 38, sites 1) | occupiedHeatSp (1; rows 1, sites 1)",zoneHeatSp
air flow,,"dischargeFlow (31; rows 1637, sites 4) | dischargeDamperFb (7.68115; rows 59, sites 1) | dischargeDamper (1; rows 1, sites 1) | dischargeFanStatus (1; rows 1, sites 1)",dischargeFlow
avg space temp,,"zoneTempAvg (5.87298; rows 19, sites 2) | zoneTemp (3.41421; rows 6, sites 2)",zoneTempAvg
bldg st prs,,"buildingPressure (11.6651; rows 44, sites 4) | buildingPressureSp (9.38083; rows 88, sites 1)",buildingPressure
capacity,,"coolingDemand (3.16228; rows 10, sites 1) | chillerLoad (1.41421; rows 2, sites 1)",coolingDemand
cbz ah ph sp,,"preHeatingCoilDischargeTempSp (2; rows 4, sites 1) | heatingCoilDischargeTempSp (1; rows 1, sites 1)",preHeatingCoilDischargeTempSp
cbz ah pre h vlv,,"preHeatingValve (2; rows 4, sites 1) | heatingValve (1; rows 1, sites 1)",preHeatingValve
cbz ah pre h temp,,"preHeatingCoilDischargeTemp (2; rows 4, sites 1) | heatingCoilDischargeTemp (1; rows 1, sites 1)",preHeatingCoilDischargeTemp
cbz cwr temp,,"twrEnteringTemp (2; rows 4, sites 1) | condLeavingTemp (1; rows 1, sites 1)",twrEnteringTemp
cc vlv cmd,,"coolingValve (32.1348; rows 389, sites 4) | coolingValveFb (5.09902; rows 26, sites 1)",coolingValve
cc vlv pos,,"coolingValve (12; rows 74, sites 3) | coolingValveFb (5.74456; rows 33, sites 1)",coolingValve
cc v,,"coolingValve (10.7442; rows 65, sites 2) | coolingValveFb (1; rows 1, sites 1)",coolingValve
cdsa tmp,,"coldDeckDischargeTemp (11.8109; rows 91, sites 2) | dischargeTemp (6.245; rows 39, sites 1)",coldDeckDischargeTemp
cfm stpt max,,"dischargeFlowCoolMaxSp (10; rows 143, sites 1) | dischargeFlowMaxSp (8.06226; rows 65, sites 1)",dischargeFlowCoolMaxSp
cfm stpt min,,"dischargeFlowCoolMinSp (10; rows 143, sites 1) | dischargeFlowMinSp (8.06226; rows 65, sites 1)",dischargeFlowCoolMinSp
chw dif prs,,"secPressureDelta (4.73205; rows 6, sites 4) | evapPressureDelta (1; rows 1, sites 1)",secPressureDelta
chw dif prs sp,,"secPressureDeltaSp (3; rows 5, sites 2) | evapPressureDeltaSp (1; rows 1, sites 1)",secPressureDeltaSp
chwp vfd spd,,"secPumpSpeed (2.44949; rows 6, sites 1) | secPumpSpeedFb (1.41421; rows 2, sites 1)",secPumpSpeed
chwp chw pmp cmd,,"secPump (2.41421; rows 3, sites 2) | evapPump (2.41421; rows 3, sites 2)",secPump
chwp chw pmp sts,,"secPumpStatus (4.41421; rows 7, sites 3) | evapPumpStatus (2.41421; rows 3, sites 2) | condPumpStatus (1; rows 1, sites 1)",secPumpStatus
chws tmp sp,,"secLeavingTempSp (4.4641; rows 7, sites 3) | evapLeavingTempSp (2.44949; rows 6, sites 1)",secLeavingTempSp
chw diff prs,,"evapPressureDelta (1; rows 1, sites 1) | secPressureDelta (1; rows 1, sites 1)",DROPPED (tie)
chw vlv sig,,"coolingValve (5.97773; rows 19, sites 2) | coolingValveFb (4.88182; rows 12, sites 2)",coolingValve
circ ss,,"circPumpSpeed (2.44949; rows 6, sites 1) | circPump (1.41421; rows 2, sites 1)",circPumpSpeed
clg flow max,,"dischargeFlowCoolMaxSp (30; rows 1484, sites 3) | dischargeFlowMaxSp (10; rows 268, sites 1) | coldDeckDischargeFlowMaxSp (3.74166; rows 14, sites 1)",dischargeFlowCoolMaxSp
clg flow min,,"dischargeFlowCoolMinSp (30; rows 1500, sites 3) | dischargeFlowMinSp (10; rows 268, sites 1) | coldDeckDischargeFlowMinSp (3.4641; rows 12, sites 1)",dischargeFlowCoolMinSp
co2 sp,,"returnCO2Sp (19.0137; rows 122, sites 3) | zoneCO2Sp (3.14626; rows 5, sites 2)",returnCO2Sp
condp start control,,"condPump (1.41421; rows 2, sites 1) | condfPump (1; rows 1, sites 1)",condPump
ct enable,,"twrFan (1.73205; rows 3, sites 1) | twrEnable (0.5; rows 0, sites 0)",twrFan
ct iso vlv cmd,,"twrIsoValve (2.82843; rows 4, sites 2) | twrEnteringIsoValve (2.23607; rows 5, sites 1)",twrIsoValve
ctl stpt,,"zoneTempSp (25; rows 2116, sites 3) | zoneTempSpLocal (10; rows 113, sites 1)",zoneTempSp
ctl flow max,,"dischargeFlowMaxSp (4.69042; rows 22, sites 1) | dischargeFlowCoolMaxSp (1; rows 1, sites 1)",dischargeFlowMaxSp
ctl flow min,,"dischargeFlowMinSp (4.69042; rows 22, sites 1) | dischargeFlowCoolMinSp (1; rows 1, sites 1)",dischargeFlowMinSp
cwp cw pmp sts,,"condPumpStatus (5.05996; rows 10, sites 3) | evapPumpStatus (1; rows 1, sites 1)",condPumpStatus
cwp sts,,"condPumpStatus (6.3778; rows 14, sites 3) | evapPumpStatus (1.41421; rows 2, sites 1) | evapPump (1; rows 1, sites 1)",condPumpStatus
ch chw iso vlv cmd,,"evapEnteringIsoValve (1.73205; rows 3, sites 1) | evapIsoValve (1.73205; rows 3, sites 1)",DROPPED (tie)
chiller cw lev tt,,"condLeavingTemp (1.73205; rows 3, sites 1) | evapLeavingTemp (1; rows 1, sites 1)",condLeavingTemp
chlr ena,,"chiller (3.73205; rows 5, sites 3) | chillerEnable (2.23607; rows 5, sites 1) | systemEnable (1; rows 1, sites 1)",chiller
chw dp,,"secPressureDelta (6.79655; rows 12, sites 4) | priPressureDelta (2; rows 2, sites 2)",secPressureDelta
chw p1 cmd,,"secPump (1; rows 1, sites 1) | CLR (1; rows 1, sites 1)",secPump
chw p1 sts,,"secPumpStatus (2; rows 2, sites 2) | evapPumpStatus (1; rows 1, sites 1)",secPumpStatus
chw p2 cmd,,"secPump (1; rows 1, sites 1) | evapPump (1; rows 1, sites 1)",secPump
chw p2 sts,,"secPumpStatus (2; rows 2, sites 2) | evapPumpStatus (1; rows 1, sites 1)",secPumpStatus
chw r tmp,,"secEnteringTemp (2; rows 2, sites 2) | evapEnteringTemp (1; rows 1, sites 1) | priEnteringTemp (1; rows 1, sites 1)",secEnteringTemp
chw s tmp,,"secLeavingTemp (2; rows 2, sites 2) | evapLeavingTemp (1; rows 1, sites 1) | priLeavingTemp (1; rows 1, sites 1)",secLeavingTemp
chw sp,,"priLeavingTempSp (1; rows 1, sites 1) | evapLeavingTempSp (1; rows 1, sites 1)",priLeavingTempSp
chw valve read,,"coolingValve (5.47723; rows 30, sites 1) | waterValve (1; rows 1, sites 1)",coolingValve
clg load,,"coolingDemand (17.1111; rows 113, sites 3) | zoneCoolingDemand (4.89898; rows 24, sites 1)",coolingDemand
clg air flow,,"coldDeckDischargeFlow (10; rows 241, sites 1) | dischargeFlow (7.34847; rows 54, sites 1)",coldDeckDischargeFlow
crsovr dpr pos,,"bypassDamper (4.69042; rows 22, sites 1) | dischargeIsoDamper (1.41421; rows 2, sites 1)",bypassDamper
cw p01 ena,,"condPump (1; rows 1, sites 1) | priPump (1; rows 1, sites 1)",DROPPED (tie)
cw p01 spd,,"condPumpSpeed (1; rows 1, sites 1) | priPumpSpeed (1; rows 1, sites 1)",DROPPED (tie)
cw p1 sts,,"condPumpStatus (2; rows 2, sites 2) | priPumpStatus (1; rows 1, sites 1)",condPumpStatus
cw pump s s,,"condPump (1.41421; rows 2, sites 1) | priPump (1.41421; rows 2, sites 1)",DROPPED (tie)
cw pump vfd,,"condPumpSpeed (1.41421; rows 2, sites 1) | priPumpSpeed (1.41421; rows 2, sites 1)",DROPPED (tie)
cw r tmp,,"condEnteringTemp (1; rows 1, sites 1) | priEnteringTemp (1; rows 1, sites 1)",DROPPED (tie)
cw s tmp,,"twrLeavingTemp (1.41421; rows 2, sites 1) | condLeavingTemp (1; rows 1, sites 1) | priLeavingTemp (1; rows 1, sites 1)",twrLeavingTemp
d,,"damper (14.2426; rows 176, sites 2) | dischargeDamper (10; rows 414, sites 1) | outsideDamper (1; rows 1, sites 1)",damper
dat,,"dischargeTemp (19.5383; rows 261, sites 3) | ahuDischargeTemp (1.73205; rows 3, sites 1)",dischargeTemp
da f hl,,"dischargeFlowCoolMaxSp (11.4556; rows 90, sites 2) | dischargeFlowMaxSp (10; rows 160, sites 1) | dischargeFlowHeatMaxSp (1; rows 1, sites 1)",dischargeFlowCoolMaxSp
da f ll,,"dischargeFlowCoolMinSp (11.669; rows 91, sites 2) | dischargeFlowMinSp (10; rows 160, sites 1)",dischargeFlowCoolMinSp
dx ena,,"coolingStage (1; rows 1, sites 1) | coolingStageEnable (1; rows 1, sites 1)",DROPPED (tie)
damper cmd,,"dischargeDamper (10; rows 220, sites 1) | damper (1.73205; rows 3, sites 1)",dischargeDamper
damper pos,,"dischargeDamper (30; rows 3084, sites 3) | dischargeDamperFb (10; rows 663, sites 1) | coldDeckDamper (10; rows 242, sites 1) | damper (8.19654; rows 48, sites 2) | outsideDamperFb (2.23607; rows 5, sites 1) | damperFb (1.41421; rows 2, sites 1)",dischargeDamper
damper position,,"dischargeDamperFb (10; rows 211, sites 1) | dischargeDamper (9.76364; rows 48, sites 2)",dischargeDamperFb
ea st prs,,"exhaustPressure (2.23607; rows 5, sites 1) | returnPressure (1; rows 1, sites 1)",exhaustPressure
ea st prs sp,,"exhaustPressureSp (2; rows 4, sites 1) | returnPressureSp (1.41421; rows 2, sites 1)",exhaustPressureSp
ena,,"unitEnable (8.48528; rows 72, sites 1) | systemEnable (3.4641; rows 6, sites 2) | chillerEnable (1; rows 1, sites 1)",unitEnable
econ dmp cmd,,"outsideDamper (8.48528; rows 52, sites 2) | outsideDampe (3; rows 9, sites 1)",outsideDamper
econ ena,,"econEnable (21.8359; rows 152, sites 4) | cool (3.74166; rows 14, sites 1) | econMode (1; rows 1, sites 1)",econEnable
ef sts,,"exhaustFanStatus (12.3137; rows 69, sites 3) | dischargeFanStatus (3.82843; rows 9, sites 2) | returnFanStatus (1.41421; rows 2, sites 1)",exhaustFanStatus
eff occ,,"occupancyMode (19.4182; rows 101, sites 4) | occupiedMode (1.41421; rows 2, sites 1)",occupancyMode
eff occ cmd,,"occupancyMode (12.4495; rows 327, sites 2) | occupancyCommand (4.12311; rows 17, sites 1)",occupancyMode
ev ent wtr tmp,,"evapEnteringTemp (1.41421; rows 2, sites 1) | evapReturnTemp (1.41421; rows 2, sites 1)",DROPPED (tie)
evap pump status bv,,"evapPumpStatus (1; rows 1, sites 1) | evapPump (1; rows 1, sites 1)",evapPumpStatus
fan spd,,"dischargeFanSpeed (14; rows 119, sites 4) | twrFanSpeedFb (1.41421; rows 2, sites 1) | exhaustFanSpeed (1; rows 1, sites 1)",dischargeFanSpeed
fan status,,"dischargeFanStatus (30.7639; rows 1659, sites 4) | exhaustFanStatus (2.44949; rows 6, sites 1) | exhaustFan (2.23607; rows 5, sites 1) | dischargeFan (1; rows 1, sites 1)",dischargeFanStatus
fan sts,,"dischargeFanStatus (13.6545; rows 81, sites 3) | exhaustFanStatus (2.64575; rows 7, sites 1)",dischargeFanStatus
ftr sig,,"perimeterValve (3.31662; rows 11, sites 1) | perimeterHeatingValve (1; rows 1, sites 1)",perimeterValve
fan command,,"dischargeFanSpeed (4.69042; rows 22, sites 1) | dischargeFan (3.31662; rows 11, sites 1) | exhaustFan (2.44949; rows 6, sites 1)",dischargeFanSpeed
flow,,"dischargeFlow (30; rows 1629, sites 3) | inletDamperFb (10; rows 113, sites 1)",dischargeFlow
flow stpt,,"dischargeFlowSp (16.0828; rows 206, sites 2) | inletDamper (10; rows 113, sites 1)",dischargeFlowSp
hc vlv cmd,,"heatingValve (28.1688; rows 562, sites 4) | heatingValveFb (1.73205; rows 3, sites 1)",heatingValve
hc vlv pos,,"heatingValve (14.2964; rows 72, sites 3) | heatingValveFb (4.12311; rows 17, sites 1)",heatingValve
hdcd dmp cmd,,"dischargeDamper (10.1975; rows 55, sites 2) | hotDeckDamper (2.44949; rows 6, sites 1)",dischargeDamper
hdsa tmp,,"hotDeckDischargeTemp (12.6458; rows 116, sites 2) | dischargeTemp (3.87298; rows 15, sites 1)",hotDeckDischargeTemp
heat ex ecw,,"evapEnteringTemp (1.41421; rows 2, sites 1) | condEnteringTemp (1; rows 1, sites 1)",evapEnteringTemp
hr pump status,,"pumpStatus (2; rows 4, sites 1) | reclaimPumpStatus (1.73205; rows 3, sites 1)",pumpStatus
htg flow max,,"dischargeFlowHeatMaxSp (30; rows 1022, sites 3) | hotDeckDischargeFlowSp (9.48683; rows 90, sites 1) | hotDeckDischargeFlowMaxSp (3.4641; rows 12, sites 1)",dischargeFlowHeatMaxSp
htg flow min,,"dischargeFlowHeatMinSp (30; rows 1024, sites 3) | dischargeFlowCoolMinSp (2; rows 2, sites 2)",dischargeFlowHeatMinSp
hwp cmd,,"secPump (5; rows 9, sites 3) | priPump (3; rows 5, sites 2) | circPump (1; rows 1, sites 1) | heatingCoilPump (1; rows 1, sites 1) | priPumpStatus (1; rows 1, sites 1)",secPump
hwp sts,,"secPumpStatus (4.44949; rows 10, sites 2) | priPumpStatus (3.23607; rows 6, sites 2) | heatingCoilPumpStatus (1; rows 1, sites 1) | priPump (1; rows 1, sites 1)",secPumpStatus
hwp vfd spd,,"secPumpSpeed (1.73205; rows 3, sites 1) | priPumpSpeed (1.41421; rows 2, sites 1)",secPumpSpeed
hwp vfd,,"priPumpSpeed (1.73205; rows 3, sites 1) | secPumpSpeed (1; rows 1, sites 1)",priPumpSpeed
hwp run status bi,,"pumpStatus (3.74166; rows 14, sites 1) | circPumpStatus (2; rows 4, sites 1)",pumpStatus
hwr tmp,,"secEnteringTemp (7.69213; rows 17, sites 4) | priEnteringTemp (4.24264; rows 18, sites 1) | enteringTemp (1.41421; rows 2, sites 1)",secEnteringTemp
hx vlv cmd,,"priValve (2; rows 4, sites 1) | heatingValve (1; rows 1, sites 1)",priValve
