text,old_resolution,new_resolution,changed,n_labels,rows_at_stake,old_score,new_score,n_sites_old,n_sites_new,synth_gen_old,synth_gen_new,per_site_rows,val_gold,test_gold,decision
out,zoneTemp,zoneTemp,False,65,2440,287.0,22.236,3,3,0/0,0/0,"{'coolingValve': {'N4-Integ01': 1, 'N4-Integ02': 9, 'N4-Integ03': 1}, 'dischargeDamper': {'N4-Integ01': 151, 'N4-Integ04': 129}, 'dischargeFan': {'N4-Integ01': 1, 'N4-Integ02': 3, 'N4-Integ03': 1, 'N4-Integ04': 59}, 'dischargeFanStatus': {'N4-Integ01': 1, 'N4-Integ02': 12, 'N4-Integ03': 3, 'N4-Integ04': 58}, 'dischargeTemp': {'N4-Integ01': 1, 'N4-Integ02': 2, 'N4-Integ04': 72}, 'heatingValve': {'N4-Integ01': 1, 'N4-Integ02': 10, 'N4-Integ04': 83}, 'mixedTemp': {'N4-Integ01': 1}, 'outsideDamper': {'N4-Integ01': 1, 'N4-Integ02': 16}, 'returnTemp': {'N4-Integ01': 1, 'N4-Integ02': 14}, 'zoneTemp': {'N4-Integ01': 153, 'N4-Integ02': 5, 'N4-Integ04': 129}, 'zoneTempSp': {'N4-Integ01': 1, 'N4-Integ04': 129}, 'chillerStatus': {'N4-Integ02': 2}, 'coldDeckDischargeTemp': {'N4-Integ02': 8}, 'condEnteringTemp': {'N4-Integ02': 2}, 'condLeavingTemp': {'N4-Integ02': 2}, 'damper': {'N4-Integ02': 1}, 'dischargeDamperFb': {'N4-Integ02': 200, 'N4-Integ04': 46}, 'dischargeFlowMaxSp': {'N4-Integ02': 2}, 'evapEnteringTempSp': {'N4-Integ02': 2}, 'evapLeavingPressure': {'N4-Integ02': 2}, 'evapLeavingTemp': {'N4-Integ02': 2}, 'evapPressureDelta': {'N4-Integ02': 1}, 'faceBypassDamper': {'N4-Integ02': 2}, 'hotDeckDischargeTemp': {'N4-Integ02': 8}, 'minOutsideDamper': {'N4-Integ02': 12}, 'occupiedCoolSp': {'N4-Integ02': 18, 'N4-Integ04': 46}, 'occupiedHeatSp': {'N4-Integ02': 16, 'N4-Integ04': 46}, 'outsideTemp': {'N4-Integ02': 6}, 'reHeatingValve': {'N4-Integ02': 4}, 'reliefDamper': {'N4-Integ02': 6}, 'returnDamper': {'N4-Integ02': 14, 'N4-Integ04': 3}, 'returnFanStatus': {'N4-Integ02': 2}, 'returnPressure': {'N4-Integ02': 1}, 'secEnteringTemp': {'N4-Integ02': 1}, 'secLeavingTemp': {'N4-Integ02': 1}, 'twrFanSpeed': {'N4-Integ02': 1}, 'twrIsoValve': {'N4-Integ02': 1}, 'unoccupiedCoolSp': {'N4-Integ02': 18, 'N4-Integ04': 46}, 'unoccupiedHeatSp': {'N4-Integ02': 16, 'N4-Integ04': 46}, 'dischargeFanSpeed': {'N4-Integ03': 1}, 'dischargePressureMaxSp': {'N4-Integ03': 1}, 'dischargePressureSp': {'N4-Integ03': 1, 'N4-Integ04': 5}, 'energyRecoveryMode': {'N4-Integ03': 1}, 'exhaustEnthalpy': {'N4-Integ03': 1}, 'exhaustFanSpeed': {'N4-Integ03': 1}, 'exhaustFanStatus': {'N4-Integ03': 1}, 'exhaustHumidity': {'N4-Integ03': 1}, 'occupancyMode': {'N4-Integ03': 1, 'N4-Integ04': 46}, 'outsideEnthalpy': {'N4-Integ03': 1}, 'preHeatingCoilDischargeTempSp': {'N4-Integ03': 1}, 'secPumpSpeed': {'N4-Integ03': 4}, 'buildingPressureSp': {'N4-Integ04': 4}, 'dischargeFlow': {'N4-Integ04': 130}, 'dischargeFlowSp': {'N4-Integ04': 129}, 'dischargeTempSp': {'N4-Integ04': 129}, 'minOutsideDamperFb': {'N4-Integ04': 1}, 'minOutsideFlow': {'N4-Integ04': 1}, 'mixedTempSp': {'N4-Integ04': 1}, 'occupiedMode': {'N4-Integ04': 83}, 'outsideDamperFb': {'N4-Integ04': 2}, 'outsideFlow': {'N4-Integ04': 1}, 'returnDamperFb': {'N4-Integ04': 2}, 'returnHumiditySp': {'N4-Integ04': 1}, 'zoneCoolSp': {'N4-Integ04': 129}, 'zoneHeatSp': {'N4-Integ04': 129}}",,,
occ cmd,occupancyMode,occupancyMode,False,2,2371,2329.0,39.0,4,4,0/0,0/0,"{'occupancyMode': {'N4-Integ01': 81, 'N4-Integ02': 247, 'N4-Integ03': 207, 'N4-Integ04': 1794}, 'occupancyModeOvr': {'N4-Integ04': 42}}",occupancyMode,N4-Integ06:occupancyMode,
vlv pos,heatingValveFb,heatingValveFb,False,7,2352,881.0,20.0,2,2,0/0,0/0,"{'waterValveFb': {'N4-Integ02': 707}, 'coolingValveFb': {'N4-Integ02': 77, 'N4-Integ03': 38, 'N4-Integ04': 9}, 'heatingValveFb': {'N4-Integ02': 728, 'N4-Integ04': 153}, 'radiantHeatingValveFb': {'N4-Integ02': 4}, 'perimeterHeatingValveFb': {'N4-Integ02': 87}, 'reHeatingValveFb': {'N4-Integ03': 351}, 'dischargeDamperFb': {'N4-Integ04': 198}}",,,
vlv comd,heatingValve,heatingValve,False,6,2255,955.0,20.0,2,2,0/0,0/0,"{'heatingValve': {'N4-Integ01': 227, 'N4-Integ02': 728}, 'waterValve': {'N4-Integ02': 707}, 'coolingValve': {'N4-Integ02': 113, 'N4-Integ03': 38}, 'radiantHeatingValve': {'N4-Integ02': 4}, 'perimeterHeatingValve': {'N4-Integ02': 87}, 'reHeatingValve': {'N4-Integ03': 351}}",heatingValve,,
ctl stpt,zoneTempSp,zoneTempSp,False,2,2229,2116.0,25.0,3,3,0/0,0/0,"{'zoneTempSp': {'N4-Integ01': 25, 'N4-Integ02': 1691, 'N4-Integ03': 400}, 'zoneTempSpLocal': {'N4-Integ02': 113}}",zoneTempSp,,
dmpr pos,dischargeDamperFb,dischargeDamperFb,False,2,2031,2001.0,30.0,3,3,0/0,0/0,"{'dischargeDamperFb': {'N4-Integ02': 1072, 'N4-Integ03': 356, 'N4-Integ04': 573}, 'outsideDamperFb': {'N4-Integ04': 30}}",dischargeDamperFb,,
inlet dmp cmd,dischargeDamper,dischargeDamper,False,4,2012,1721.0,39.487,4,4,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 90, 'N4-Integ02': 387, 'N4-Integ03': 863, 'N4-Integ04': 381}, 'damper': {'N4-Integ02': 30}, 'dischargeDamperFb': {'N4-Integ02': 1}, 'intakeDamper': {'N4-Integ02': 260}}",dischargeDamper,N4-Integ06:dischargeDamper,
zn tmp,zoneTemp,zoneTemp,False,2,1876,1876.0,41.0,4,4,1/0,1/0,"{'zoneTemp': {'N4-Integ01': 412, 'N4-Integ02': 426, 'N4-Integ03': 398, 'N4-Integ04': 639}, 'heatingValve': {'N4-Integ04': 1}}",zoneTemp,N4-Integ06:zoneTemp,
clg flow min,dischargeFlowCoolMinSp,dischargeFlowCoolMinSp,False,3,1780,1500.0,30.0,3,3,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ01': 398, 'N4-Integ02': 541, 'N4-Integ03': 561}, 'dischargeFlowMinSp': {'N4-Integ02': 268}, 'coldDeckDischargeFlowMinSp': {'N4-Integ02': 12}}",dischargeFlowCoolMinSp,,
clg flow max,dischargeFlowCoolMaxSp,dischargeFlowCoolMaxSp,False,3,1766,1484.0,30.0,3,3,0/0,0/0,"{'dischargeFlowCoolMaxSp': {'N4-Integ01': 399, 'N4-Integ02': 524, 'N4-Integ03': 561}, 'dischargeFlowMaxSp': {'N4-Integ02': 268}, 'coldDeckDischargeFlowMaxSp': {'N4-Integ02': 14}}",dischargeFlowCoolMaxSp,,
flow,dischargeFlow,dischargeFlow,False,2,1742,1629.0,30.0,3,3,0/0,0/0,"{'dischargeFlow': {'N4-Integ01': 313, 'N4-Integ02': 845, 'N4-Integ03': 471}, 'inletDamperFb': {'N4-Integ02': 113}}",dischargeFlow,,
air flow,dischargeFlow,dischargeFlow,False,4,1698,1637.0,31.0,4,4,0/0,0/0,"{'dischargeFlow': {'N4-Integ01': 1, 'N4-Integ02': 287, 'N4-Integ03': 754, 'N4-Integ04': 595}, 'dischargeFanStatus': {'N4-Integ02': 1}, 'dischargeDamperFb': {'N4-Integ03': 59}, 'dischargeDamper': {'N4-Integ04': 1}}",,N4-Integ06:dischargeFlow,
fan status,dischargeFanStatus,dischargeFanStatus,False,4,1671,1659.0,30.764,4,4,0/0,0/0,"{'dischargeFanStatus': {'N4-Integ01': 1409, 'N4-Integ02': 27, 'N4-Integ03': 31, 'N4-Integ04': 192}, 'exhaustFan': {'N4-Integ01': 5}, 'exhaustFanStatus': {'N4-Integ01': 6}, 'dischargeFan': {'N4-Integ02': 1}}",dischargeFanStatus,,
nci min flow,dischargeFlowMinSp,dischargeFlowMinSp,False,2,1391,1316.0,10.0,1,1,0/0,0/0,"{'dischargeFlowMinSp': {'N4-Integ01': 1316}, 'dischargeFlowCoolMinSp': {'N4-Integ03': 75}}",dischargeFlowCoolMinSp,,
heat,heatingStage,heatingStage,False,4,1307,1283.0,10.0,1,1,0/0,0/0,"{'heatingStage': {'N4-Integ01': 1283}, 'perimeterValve': {'N4-Integ01': 15}, 'heatingDemand': {'N4-Integ02': 8}, 'heatingValve': {'N4-Integ02': 1}}",,,
supply temp,dischargeTemp,dischargeTemp,False,5,1276,1263.0,15.0,3,3,3/0,3/0,"{'dischargeTemp': {'N4-Integ01': 1, 'N4-Integ03': 1258, 'N4-Integ04': 1}, 'evapLeavingTemp': {'N4-Integ01': 2}, 'secLeavingTemp': {'N4-Integ02': 12}, 'dischargeTempSp': {'N4-Integ03': 1}, 'zoneTemp': {'N4-Integ03': 1}}",,,
occ sts,occupancyMode,occupancyMode,False,2,1223,1214.0,35.477,4,4,0/0,0/0,"{'occupancyMode': {'N4-Integ01': 30, 'N4-Integ02': 110, 'N4-Integ03': 334, 'N4-Integ04': 740}, 'occupancySensor': {'N4-Integ02': 9}}",occupancyMode,,
ctl temp,zoneTemp,zoneTemp,False,2,1137,1097.0,12.449,2,2,0/0,0/0,"{'zoneTemp': {'N4-Integ02': 1091, 'N4-Integ03': 6}, 'zoneTempSp': {'N4-Integ02': 40}}",,,
htg flow max,dischargeFlowHeatMaxSp,dischargeFlowHeatMaxSp,False,3,1124,1022.0,30.0,3,3,0/0,0/0,"{'dischargeFlowHeatMaxSp': {'N4-Integ01': 396, 'N4-Integ02': 126, 'N4-Integ03': 500}, 'hotDeckDischargeFlowMaxSp': {'N4-Integ02': 12}, 'hotDeckDischargeFlowSp': {'N4-Integ02': 90}}",dischargeFlowHeatMaxSp,,
uoc clg sp,unoccupiedCoolSp,unoccupiedCoolSp,False,2,1101,784.0,35.292,4,4,0/0,0/0,"{'unoccupiedCoolSp': {'N4-Integ01': 28, 'N4-Integ02': 240, 'N4-Integ03': 236, 'N4-Integ04': 280}, 'dischargeFlowUnoccCoolSp': {'N4-Integ04': 317}}",unoccupiedCoolSp,N4-Integ06:unoccupiedCoolSp,
htg flow min,dischargeFlowHeatMinSp,dischargeFlowHeatMinSp,False,2,1026,1024.0,30.0,3,3,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ01': 1, 'N4-Integ02': 1}, 'dischargeFlowHeatMinSp': {'N4-Integ01': 397, 'N4-Integ02': 127, 'N4-Integ03': 500}}",dischargeFlowHeatMinSp,,
occ clg sp,occupiedCoolSp,occupiedCoolSp,False,3,1018,952.0,40.849,4,4,1/0,1/0,"{'occupiedCoolSp': {'N4-Integ01': 97, 'N4-Integ02': 421, 'N4-Integ03': 100, 'N4-Integ04': 333}, 'zoneCoolSp': {'N4-Integ02': 2, 'N4-Integ03': 54}, 'zoneTempSp': {'N4-Integ03': 11}}",occupiedCoolSp,N4-Integ06:occupiedCoolSp,
occ htg sp,occupiedHeatSp,occupiedHeatSp,False,2,950,949.0,40.849,4,4,1/0,1/0,"{'occupiedHeatSp': {'N4-Integ01': 97, 'N4-Integ02': 417, 'N4-Integ03': 101, 'N4-Integ04': 333}, 'zoneHeatSp': {'N4-Integ02': 2}}",occupiedHeatSp,N4-Integ06:occupiedHeatSp,
max flow,dischargeFlowCoolMaxSp,dischargeFlowCoolMaxSp,False,2,902,856.0,15.477,2,2,0/0,0/0,"{'dischargeFlowCoolMaxSp': {'N4-Integ01': 30, 'N4-Integ02': 826}, 'dischargeFlowMaxSp': {'N4-Integ03': 46}}",,,
sf cmd,dischargeFan,dischargeFan,False,2,877,870.0,36.899,4,4,2/0,2/0,"{'dischargeFan': {'N4-Integ01': 24, 'N4-Integ02': 251, 'N4-Integ03': 271, 'N4-Integ04': 322}, 'dischageFan': {'N4-Integ04': 9}}",dischargeFan,N4-Integ06:dischargeFan,
min flow,dischargeFlowCoolMinSp,dischargeFlowCoolMinSp,False,2,857,856.0,15.477,2,2,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ01': 30, 'N4-Integ02': 826}, 'dischargeFlowMinSp': {'N4-Integ03': 1}}",,,
heat stage,heatingStage,heatingStage,False,2,733,720.0,14.576,3,3,0/0,0/0,"{'heatingStage': {'N4-Integ01': 10, 'N4-Integ02': 2, 'N4-Integ03': 708}, 'exhaustTemp': {'N4-Integ02': 13}}",,,
dpr o,dischargeDamper,dischargeDamper,False,2,614,612.0,31.0,3,3,1/0,1/0,"{'dischargeDamper': {'N4-Integ02': 197, 'N4-Integ03': 173, 'N4-Integ04': 241}, 'outsideDamper': {'N4-Integ04': 3}}",damper,,
act fl sp,dischargeFlowSp,dischargeFlowSp,False,3,604,573.0,10.0,1,1,0/0,0/0,"{'dischargeFlowSp': {'N4-Integ04': 573}, 'outsideFlowSp': {'N4-Integ04': 30}, 'zoneCoolSp': {'N4-Integ04': 1}}",,,
dmpr cmd,dischargeDamper,dischargeDamper,False,2,603,574.0,11.0,1,1,1/0,1/0,"{'dischargeDamper': {'N4-Integ04': 573}, 'outsideDamper': {'N4-Integ04': 30}}",,,
act fl,dischargeFlow,dischargeFlow,False,2,603,573.0,10.0,1,1,0/0,0/0,"{'dischargeFlow': {'N4-Integ04': 573}, 'outsideFlow': {'N4-Integ04': 30}}",,,
fan cmd act,dischargeFan,dischargeFan,False,2,602,595.0,10.0,1,1,0/0,0/0,"{'dischargeFan': {'N4-Integ04': 595}, 'exhaustFan': {'N4-Integ04': 7}}",,,
sa flow sp,dischargeFlowSp,dischargeFlowSp,False,2,596,576.0,33.0,3,3,3/0,3/0,"{'dischargeFlowSp': {'N4-Integ02': 159, 'N4-Integ03': 173, 'N4-Integ04': 241}, 'dischargeTempSp': {'N4-Integ02': 23}}",dischargeFlowSp,,
max cl vol sp,dischargeFlowCoolMaxSp,dischargeFlowCoolMaxSp,False,3,573,456.0,10.0,1,1,0/0,0/0,"{'coldDeckDischargeFlowMaxSp': {'N4-Integ01': 29}, 'dischargeFlowCoolMaxSp': {'N4-Integ03': 456}, 'dischargeFlowMaxSp': {'N4-Integ03': 88}}",,,
min cl vol sp,dischargeFlowCoolMinSp,dischargeFlowCoolMinSp,False,3,573,456.0,10.0,1,1,0/0,0/0,"{'coldDeckDischargeFlowMinSp': {'N4-Integ01': 29}, 'dischargeFlowCoolMinSp': {'N4-Integ03': 456}, 'dischargeFlowMinSp': {'N4-Integ03': 88}}",,,
min ht vol sp,dischargeFlowHeatMinSp,dischargeFlowHeatMinSp,False,3,568,451.0,10.0,1,1,0/0,0/0,"{'hotDeckDischargeFlowMinSp': {'N4-Integ01': 29}, 'dischargeFlowHeatMinSp': {'N4-Integ03': 451}, 'dischargeFlowHeatSp': {'N4-Integ03': 88}}",,,
hc vlv cmd,heatingValve,heatingValve,False,2,565,562.0,28.169,4,4,0/0,0/0,"{'heatingValve': {'N4-Integ01': 18, 'N4-Integ02': 59, 'N4-Integ03': 39, 'N4-Integ04': 446}, 'heatingValveFb': {'N4-Integ02': 3}}",heatingValve,N4-Integ06:heatingValve,
eff clg sp,zoneCoolSp,zoneCoolSp,False,2,558,534.0,12.0,2,2,1/0,1/0,"{'zoneCoolSp': {'N4-Integ02': 532, 'N4-Integ03': 1}, 'occupiedCoolSp': {'N4-Integ03': 25}}",zoneCoolSp,N4-Integ06:zoneCoolSp,
effclg sp,occupiedCoolSp,occupiedCoolSp,False,2,548,523.0,19.539,2,2,0/0,0/0,"{'zoneCoolSp': {'N4-Integ02': 21, 'N4-Integ04': 4}, 'occupiedCoolSp': {'N4-Integ03': 432, 'N4-Integ04': 91}}",zoneCoolSp,,
effhtg sp,occupiedHeatSp,occupiedHeatSp,False,2,538,523.0,19.539,2,2,0/0,0/0,"{'zoneHeatSp': {'N4-Integ02': 11, 'N4-Integ04': 4}, 'occupiedHeatSp': {'N4-Integ03': 432, 'N4-Integ04': 91}}",zoneHeatSp,,
ra tmp,returnTemp,returnTemp,False,2,532,531.0,37.616,4,4,0/0,0/0,"{'returnTemp': {'N4-Integ01': 58, 'N4-Integ02': 151, 'N4-Integ03': 178, 'N4-Integ04': 144}, 'occupiedHeatSp': {'N4-Integ02': 1}}",returnTemp,N4-Integ06:returnTemp,
htg o,heatingValve,heatingValve,False,2,516,476.0,19.704,3,3,0/0,0/0,"{'heatingValve': {'N4-Integ02': 15, 'N4-Integ03': 427, 'N4-Integ04': 34}, 'heatingStageMod': {'N4-Integ04': 40}}",,,
eff htg sp,zoneHeatSp,zoneHeatSp,False,2,514,505.0,12.0,2,2,1/0,1/0,"{'zoneHeatSp': {'N4-Integ02': 503, 'N4-Integ03': 1}, 'occupiedHeatSp': {'N4-Integ03': 10}}",zoneHeatSp,N4-Integ06:zoneHeatSp,
rht vlv pos,heatingValve,heatingValve,False,2,487,487.0,20.0,2,2,0/0,0/0,"{'reHeatingValveFb': {}, 'heatingValve': {'N4-Integ01': 161, 'N4-Integ03': 326}}",,,
clg o,coolingValve,coolingValve,False,2,462,326.0,21.43,3,3,0/0,0/0,"{'coolingValve': {'N4-Integ02': 19, 'N4-Integ03': 257, 'N4-Integ04': 50}, 'coolingDemand': {'N4-Integ04': 136}}",coolingValve,,
dmp pos,dischargeDamper,dischargeDamper,False,2,456,368.0,20.0,2,2,0/0,0/0,"{'dischargeDamper': {'N4-Integ02': 136, 'N4-Integ04': 232}, 'damper': {'N4-Integ03': 88}}",dischargeDamper,N4-Integ06:dischargeDamper,
occ status,occupancyMode,occupancyMode,False,2,452,449.0,14.449,3,3,1/0,1/0,"{'occupancyMode': {'N4-Integ01': 441, 'N4-Integ02': 1, 'N4-Integ03': 6}, 'occupancySensor': {'N4-Integ01': 4}}",,N4-Integ06:occupancyMode | Motorola_Points:occupancyMode,
htg vlv pos,heatingValve,heatingValve,False,2,436,345.0,20.0,2,2,0/0,0/0,"{'heatingValve': {'N4-Integ02': 138, 'N4-Integ04': 207}, 'heatingValveFb': {'N4-Integ04': 91}}",,N4-Integ06:heatingValve,
cd dmp pos,coldDeckDamper,coldDeckDamper,False,2,430,340.0,10.0,1,1,0/0,0/0,"{'coldDeckDamper': {'N4-Integ02': 340}, 'coldDeckDamperFb': {'N4-Integ02': 90}}",coldDeckDamperFb,,
cc vlv cmd,coolingValve,coolingValve,False,2,415,389.0,32.135,4,4,0/0,0/0,"{'coolingValve': {'N4-Integ01': 10, 'N4-Integ02': 92, 'N4-Integ03': 88, 'N4-Integ04': 199}, 'coolingValveFb': {'N4-Integ02': 26}}",coolingValve,N4-Integ06:coolingValve,
sf spd,dischargeFanSpeed,dischargeFanSpeed,False,3,386,348.0,36.013,4,4,1/0,1/0,"{'dischargeFanSpeed': {'N4-Integ01': 58, 'N4-Integ02': 86, 'N4-Integ03': 66, 'N4-Integ04': 137}, 'dischargeFanSpeedFb': {'N4-Integ02': 20, 'N4-Integ03': 1, 'N4-Integ04': 11}, 'dischargeFanFrequency': {'N4-Integ03': 7}}",dischargeFanSpeed,N4-Integ06:dischargeFanSpeed,
occ cool setpt,occupiedCoolSp,occupiedCoolSp,False,2,356,357.0,12.0,1,1,2/0,2/0,"{'occupiedCoolSp': {'N4-Integ01': 355}, 'zoneCoolSp': {'N4-Integ01': 1}}",,,
occ heat setpt,occupiedHeatSp,occupiedHeatSp,False,2,356,357.0,12.0,1,1,2/0,2/0,"{'occupiedHeatSp': {'N4-Integ01': 355}, 'zoneHeatSp': {'N4-Integ01': 1}}",,,
eff occ cmd,occupancyMode,occupancyMode,False,2,344,327.0,12.449,2,2,0/0,0/0,"{'occupancyCommand': {'N4-Integ01': 17}, 'occupancyMode': {'N4-Integ01': 6, 'N4-Integ04': 321}}",,,
sa tmp sp,dischargeTempSp,dischargeTempSp,False,2,339,330.0,32.145,4,4,0/0,0/0,"{'dischargeTempSp': {'N4-Integ01': 23, 'N4-Integ02': 61, 'N4-Integ03': 155, 'N4-Integ04': 91}, 'dischageTempSp': {'N4-Integ04': 9}}",dischargeTempSp,N4-Integ06:dischargeTempSp,
inlet heat max vol sp,dischargeFlowHeatMaxSp,dischargeFlowHeatMaxSp,False,2,334,317.0,10.0,1,1,0/0,0/0,"{'dischargeFlowHeatMaxSp': {'N4-Integ04': 317}, 'dischargeFlowMaxSp': {'N4-Integ04': 17}}",,,
inlet heat min vol sp,dischargeFlowHeatMinSp,dischargeFlowHeatMinSp,False,2,334,317.0,10.0,1,1,0/0,0/0,"{'dischargeFlowHeatMinSp': {'N4-Integ04': 317}, 'dischargeFlowMinSp': {'N4-Integ04': 17}}",,,
uocc htg sp,dischargeFlowUnoccHeatSp,dischargeFlowUnoccHeatSp,False,2,334,317.0,10.0,1,1,0/0,0/0,"{'dischargeFlowUnoccHeatSp': {'N4-Integ04': 317}, 'unoccupiedHeatSp': {'N4-Integ04': 17}}",,,
inlet dmp pos,dischargeDamper,dischargeDamper,False,4,324,215.0,11.414,2,2,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 2, 'N4-Integ04': 213}, 'damperFb': {'N4-Integ02': 30}, 'dischargeDamperFb': {'N4-Integ02': 1, 'N4-Integ03': 72}, 'intakeDamperFb': {'N4-Integ02': 6}}",dischargeDamperFb,N4-Integ06:dischargeDamper,
flow stpt,dischargeFlowSp,dischargeFlowSp,False,2,319,206.0,16.083,2,2,0/0,0/0,"{'dischargeFlowSp': {'N4-Integ01': 169, 'N4-Integ02': 37}, 'inletDamper': {'N4-Integ02': 113}}",dischargeFlowSp,,
eff rm tmp clg sp,zoneCoolSp,zoneCoolSp,False,2,308,298.0,13.0,2,2,0/0,0/0,"{'occupiedCoolSp': {'N4-Integ03': 10}, 'zoneCoolSp': {'N4-Integ03': 289, 'N4-Integ04': 9}}",,,
eff rm tmp htg sp,zoneHeatSp,zoneHeatSp,False,2,308,298.0,13.0,2,2,0/0,0/0,"{'occupiedHeatSp': {'N4-Integ03': 10}, 'zoneHeatSp': {'N4-Integ03': 289, 'N4-Integ04': 9}}",,,
reheat pos,reHeatingValve,reHeatingValve,False,2,302,302.0,10.0,1,1,0/0,0/0,"{'reHeatingValveFb': {}, 'reHeatingValve': {'N4-Integ02': 302}}",,,
curr clg set p,zoneCoolSp,zoneCoolSp,False,2,299,207.0,10.0,1,1,0/0,0/0,"{'effectiveCoolSp': {'N4-Integ04': 92}, 'zoneCoolSp': {'N4-Integ04': 207}}",,,
curr htg set p,zoneHeatSp,zoneHeatSp,False,2,299,207.0,10.0,1,1,0/0,0/0,"{'effectiveHeatSp': {'N4-Integ04': 92}, 'zoneHeatSp': {'N4-Integ04': 207}}",,,
clg air flow,coldDeckDischargeFlow,coldDeckDischargeFlow,False,2,295,241.0,10.0,1,1,0/0,0/0,"{'coldDeckDischargeFlow': {'N4-Integ01': 241}, 'dischargeFlow': {'N4-Integ01': 54}}",dischargeFlow,,
air vol,dischargeFlow,dischargeFlow,False,2,290,286.0,19.381,2,2,0/0,0/0,"{'dischargeFlow': {'N4-Integ03': 88, 'N4-Integ04': 198}, 'returnFlow': {'N4-Integ04': 4}}",,,
occ sp,zoneTempSp,zoneTempSp,False,2,274,207.0,10.0,1,1,0/0,0/0,"{'OccSp': {'N4-Integ04': 67}, 'zoneTempSp': {'N4-Integ04': 207}}",,,
dat,dischargeTemp,dischargeTemp,False,2,264,261.0,19.538,3,3,0/0,0/0,"{'dischargeTemp': {'N4-Integ01': 66, 'N4-Integ02': 193, 'N4-Integ03': 2}, 'ahuDischargeTemp': {'N4-Integ02': 3}}",,N4-Integ06:dischargeTemp,
nvo damper pos,dischargeDamper,dischargeDamper,False,2,264,255.0,17.81,2,2,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 61, 'N4-Integ04': 194}, 'damper': {'N4-Integ02': 9}}",,,
damper position,dischargeDamperFb,dischargeDamperFb,False,2,259,211.0,10.0,1,1,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 20, 'N4-Integ03': 28}, 'dischargeDamperFb': {'N4-Integ01': 211}}",dischargeDamper,,
sa st prs,dischargePressure,dischargePressure,False,2,257,256.0,29.252,4,4,0/0,0/0,"{'dischargePressure': {'N4-Integ01': 3, 'N4-Integ02': 74, 'N4-Integ03': 93, 'N4-Integ04': 86}, 'dischargeFanLeavingPressure': {'N4-Integ02': 1}}",dischargePressure,N4-Integ06:dischargePressure,
min flow stpt,dischargeFlowCoolMinSp,dischargeFlowCoolMinSp,False,2,253,232.0,10.0,1,1,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ03': 232}, 'dischargeFlowHeatSp': {'N4-Integ03': 21}}",,,
htg air flow,hotDeckDischargeFlow,hotDeckDischargeFlow,False,2,242,241.0,10.0,1,1,0/0,0/0,"{'hotDeckDischargeFlow': {'N4-Integ01': 241}, 'dischargeFlow': {'N4-Integ02': 1}}",,,
rm co2,zoneCO2,zoneCO2,False,2,235,239.0,34.213,4,4,5/0,5/0,"{'zoneCO2': {'N4-Integ01': 13, 'N4-Integ02': 81, 'N4-Integ03': 87, 'N4-Integ04': 53}, 'zoneCO': {'N4-Integ01': 1}}",zoneCO2,N4-Integ06:zoneCO2,
sa st prs sp,dischargePressureSp,dischargePressureSp,False,2,234,233.0,26.348,3,3,0/0,0/0,"{'dischargePressureSp': {'N4-Integ02': 71, 'N4-Integ03': 96, 'N4-Integ04': 66}, 'outsideFlowSp': {'N4-Integ03': 1}}",dischargePressureSp,N4-Integ06:dischargePressureSp,
htg signal,heatingDemand,heatingDemand,False,2,232,166.0,10.0,1,1,0/0,0/0,"{'heatingDemand': {'N4-Integ02': 166}, 'HtgSignal': {'N4-Integ04': 66}}",,,
damper cmd,dischargeDamper,dischargeDamper,False,2,223,220.0,10.0,1,1,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 220}, 'damper': {'N4-Integ02': 3}}",,,
htg stg cmd,heatingStage,heatingStage,False,2,220,219.0,15.477,2,2,0/0,0/0,"{'heatingStage': {'N4-Integ02': 30, 'N4-Integ04': 189}, 'reHeatingStage': {'N4-Integ04': 1}}",,,
inlet air dmp cmd,dischargeDamper,dischargeDamper,False,2,211,210.0,11.0,2,2,0/0,0/0,"{'dischargeDamper': {'N4-Integ01': 1, 'N4-Integ04': 209}, 'dischargeFlow': {'N4-Integ01': 1}}",,,
cfm stpt max,dischargeFlowCoolMaxSp,dischargeFlowCoolMaxSp,False,2,208,143.0,10.0,1,1,0/0,0/0,"{'dischargeFlowCoolMaxSp': {'N4-Integ01': 143}, 'dischargeFlowMaxSp': {'N4-Integ01': 65}}",,,
cfm stpt min,dischargeFlowCoolMinSp,dischargeFlowCoolMinSp,False,2,208,143.0,10.0,1,1,0/0,0/0,"{'dischargeFlowCoolMinSp': {'N4-Integ01': 143}, 'dischargeFlowMinSp': {'N4-Integ01': 65}}",,,
valve,waterValve,waterValve,False,2,204,202.0,10.0,1,1,0/0,0/0,"{'waterValve': {'N4-Integ02': 202}, 'twrEnteringIsoValve': {'N4-Integ04': 2}}",,,
