text,context,context_label,name_only_label,rows
zn t sp clg,eq th flr fv a1 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,9
out,eq hvac chw valve | unit percent | kind analog,coolingValve,zoneTemp,8
vlv pos,eq t us acb a acb | unit percent | kind analog,waterValveFb,heatingValveFb,8
vlv pos,eq t us acbb acb | unit percent | kind analog,waterValveFb,heatingValveFb,8
vlv comd,eq t us acb a acb | unit percent | kind analog,waterValve,heatingValve,8
min oa dmp pos sp,eq ahu | unit percent | kind analog,minOutsideDamper,minOutsideFaceDamper,8
inlet dmp pos,eq cav | unit percent | kind analog,dischargeDamperFb,dischargeDamper,8
reheat mod,eq ub lb display data | unit percent | kind analog,heatingValve,reHeatingValve,8
vlv comd,eq t us acbb acb | unit percent | kind analog,waterValve,heatingValve,8
occ cmd sts,eq flr e terms rm | unit occupied | kind analog,occupancyMode,occupancyStatus,8
occ sts,eq vav | unit on | kind binary,occupancySensor,occupancyMode,8
min ht vol sp,eq court nd floor | unit cfm | kind analog,hotDeckDischargeFlowMinSp,dischargeFlowHeatMinSp,8
max cl vol sp,eq court nd floor | unit cfm | kind analog,coldDeckDischargeFlowMaxSp,dischargeFlowCoolMaxSp,8
zn t sp clg,eq bsmt fc | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,8
heat cool,eq t us acbb acbb | unit cool | kind binary,heatingEnable,hvacMode,8
rhc vlv cmd,eq f4 ne outputs | unit percent | kind analog,heatingValve,reHeatingValve,8
zn t sp htg,eq bsmt fc | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,8
sys ena,eq mechanical | unit enable | kind binary,unitEnable,systemEnable,8
rhc vlv cmd,eq f6 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,8
rhc vlv cmd,eq f3 sw outputs | unit percent | kind analog,heatingValve,reHeatingValve,8
rhc vlv cmd,eq f5 sw outputs | unit percent | kind analog,heatingValve,reHeatingValve,8
rhc vlv cmd,eq f5 ne outputs | unit percent | kind analog,heatingValve,reHeatingValve,8
rhc vlv cmd,eq f4 sw outputs | unit percent | kind analog,heatingValve,reHeatingValve,8
fan command,eq th floor ahu | unit on | kind binary,dischargeFan,dischargeFanSpeed,8
min cl vol sp,eq court nd floor | unit cfm | kind analog,coldDeckDischargeFlowMinSp,dischargeFlowCoolMinSp,8
out,eq hvac nvo cold deck sa temp | unit degf | kind analog,coldDeckDischargeTemp,zoneTemp,8
cd temp,eq bln node ahu | unit degf | kind analog,coldDeckDischargeTemp,dischargeTemp,8
heat cool,eq ahu cav | unit cool | kind binary,heatingEnable,hvacMode,8
heat,eq pim logic | unit off | kind binary,heatingDemand,heatingStage,8
out,eq hvac nvo hot deck sa temp | unit degf | kind analog,hotDeckDischargeTemp,zoneTemp,8
max flow,eq atu a | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,7
chw vlv sig,eq ahu cntrl io | unit percent | kind analog,coolingValveFb,coolingValve,7
heat cool,eq ahu vav fd | unit heat | kind binary,heatingEnable,hvacMode,7
rhc vlv cmd,eq f3 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,7
min flow stpt,eq denney fifth ddva vs | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowCoolMinSp,7
fan cmd act,eq ahu ef | unit off | kind binary,exhaustFan,dischargeFan,7
fan sts,eq ahu ef | unit off | kind binary,exhaustFanStatus,dischargeFanStatus,7
rhc vlv cmd,eq f3 ne outputs | unit percent | kind analog,heatingValve,reHeatingValve,7
damper pos,eq vav a | unit percent | kind analog,dischargeDamperFb,dischargeDamper,7
sa sp,eq ahu p | unit inwc | kind analog,dischargePressure,dischargeTempSp,7
oa flow min sp,eq ahu cntrl a vs | unit cfm | kind analog,outsideFlowMinSp,minOutsideFlowSp,7
damper pos,eq denney fifth ddva vs | unit percent | kind analog,coldDeckDamper,dischargeDamper,7
rhc vlv cmd,eq f4 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,7
rhc vlv cmd,eq f3 nw outputs | unit percent | kind analog,heatingValve,reHeatingValve,7
clg sig,eq a cs bsmnt ac | unit percent | kind analog,coolingValveFb,coolingValve,7
rhc vlv cmd,eq f6 ne outputs | unit percent | kind analog,heatingValve,reHeatingValve,7
rhc vlv cmd,eq f5 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,7
damper pos,eq atu a | unit percent | kind analog,damper,dischargeDamper,7
sf low cmd,eq ptac n outs | unit stop | kind binary,dischargeFanSpeedStage,dischargeFanSpeedMinSp,7
damper pos,eq sdva vs sdb | unit percent | kind analog,coldDeckDamper,dischargeDamper,7
d,eq st flr vav b | unit percent | kind analog,dischargeDamper,damper,6
nvo damper pos,unit percent | kind analog,damper,dischargeDamper,6
rhc vlv cmd,eq f4 nw outputs | unit percent | kind analog,heatingValve,reHeatingValve,6
d,eq st flr vav a | unit percent | kind analog,dischargeDamper,damper,6
sys ena,eq sf ne monitoring | unit on | kind binary,occupancyMode,systemEnable,6
clg dmd,eq air handling systems | unit off | kind binary,coolingDemand,zoneCoolingDemand,6
rhc vlv cmd,eq f5 nw outputs | unit percent | kind analog,heatingValve,reHeatingValve,6
setpoint,eq hot water systems blr | unit degf | kind analog,priLeavingTempSp,zoneTempSp,6
min cl vol sp,eq flr center vav | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,6
blr hws tmp,eq mechanical hw | unit degf | kind analog,secLeavingTemp,priLeavingTemp,6
zn t sp htg,eq st flr vav b | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,6
sys ena,eq sf se monitoring | unit on | kind binary,occupancyMode,systemEnable,6
current damper position,eq sw data | unit percent | kind analog,dischargeDamperFb,damperFb,6
sf spd,eq hvu | unit percent | kind analog,dischargeFanFrequency,dischargeFanSpeed,6
damper pos,eq atu b | unit percent | kind analog,damper,dischargeDamper,6
max cl vol sp,eq flr center vav | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,6
min ht vol sp,eq flr center vav | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowHeatMinSp,6
out,eq hvac nvo oa temp | unit degf | kind analog,outsideTemp,zoneTemp,6
zn t sp clg,eq st flr vav a | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,6
max flow,eq atu b | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,6
dmp pos,eq flr center vav | unit percent | kind analog,damper,dischargeDamper,6
nci max flow,eq ncfb a service level a sl ld c5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,6
ra rel hum sp,eq ahu w | unit percent | kind analog,returnHumidSp,returnHumiditySp,6
dmpr pos,eq dd c rm oa | unit percent | kind analog,outsideDamperFb,dischargeDamperFb,6
dmpr cmd,eq dd c rm oa | unit percent | kind analog,outsideDamper,dischargeDamper,6
rf spd,eq ahu p | unit percent | kind analog,returnFanSpeedFb,returnFanSpeed,6
hdcd dmp cmd,eq ac ddvav outs | unit percent | kind analog,hotDeckDamper,dischargeDamper,6
max flow sp,eq dd c rm oa | unit cfm | kind analog,outsideFlowMaxSp,dischargeFlowMaxSp,6
zn t sp htg,eq st flr vav a | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,6
act fl sp,eq dd c rm oa | unit cfm | kind analog,outsideFlowSp,dischargeFlowSp,6
act fl,eq dd c rm oa | unit cfm | kind analog,outsideFlow,dischargeFlow,6
cfm stpt max,eq v floor n fpb | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,6
inlet dmp pos,eq vav rh | unit percent | kind analog,intakeDamperFb,dischargeDamper,6
out,eq vav multiply | kind analog,dischargeDamperFb,zoneTemp,6
cfm stpt min,eq v floor n fpb | kind analog,dischargeFlowMinSp,dischargeFlowCoolMinSp,6
inlet dmp cmd,eq general office ahu fpb | unit percent | kind analog,intakeDamper,dischargeDamper,6
min flow sp,eq dd c rm oa | unit cfm | kind analog,outsideFlowMinSp,dischargeFlowMinSp,6
out,eq hvac relief damper | unit percent | kind analog,reliefDamper,zoneTemp,6
zn t sp clg,eq st flr vav b | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,6
heat cool,eq q3 ahu | unit cool | kind binary,heatingEnable,hvacMode,5
ef spd,eq ahu | unit percent | kind analog,exhaustFan,exhaustFanSpeed,5
out,eq vav unit status | unit false | kind binary,occupancyMode,zoneTemp,5
vlv pos,eq t us bcb | unit percent | kind analog,coolingValveFb,heatingValveFb,5
zn t sp htg,eq th flr vav a | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,5
damper pos,eq vav b | unit percent | kind analog,dischargeDamperFb,dischargeDamper,5
heat cool,eq q2 ahu | unit heat | kind binary,heatingEnable,hvacMode,5
heat cool,eq ahu vav fd w2 | unit heat | kind binary,heatingEnable,hvacMode,5
d,eq rd flr vav b | unit percent | kind analog,dischargeDamper,damper,5
bldg st prs,eq flr a ahu sys | unit inwc | kind analog,buildingPressureSp,buildingPressure,5
zn t sp htg,eq rd flr vav b | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,5
rm rel hum,eq ahu | unit percent | kind analog,returnHumidity,zoneHumidity,5
oa dmp pos px,eq ahu | unit percent | kind analog,reliefDamper,outsideDamperFb,5
d,eq th flr vav a | unit percent | kind analog,dischargeDamper,damper,5
sys ena,eq sf nw monitoring | unit on | kind binary,occupancyMode,systemEnable,5
rhc vlv cmd,eq f6 nw outputs | unit percent | kind analog,heatingValve,reHeatingValve,5
zn t sp htg,eq th flr vav b | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,5
sf low cmd,eq ptac n outs | unit start | kind binary,dischargeFanSpeedStage,dischargeFanSpeedMinSp,5
zn t sp clg,eq th flr vav a | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,5
oa dpr pos,eq wf ahu n | unit percent | kind analog,outsideDamperSp,outsideDamper,5
zn t sp clg,eq th flr vav b | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,5
min flow sp,eq ssa vav | unit cfm | kind analog,dischargeFlowCoolMinSp,dischargeFlowMinSp,5
zn t sp clg,eq rd flr vav b | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,5
ra rel hum sp,eq ahu e | unit percent | kind analog,returnHumidSp,returnHumiditySp,5
prot clg stpt,unit degf | kind analog,unoccupiedCoolSp,standbyCoolSp,5
vlv comd,eq t us bcb | unit percent | kind analog,coolingValve,heatingValve,5
d,eq th flr vav b | unit percent | kind analog,dischargeDamper,damper,5
ctl stpt,eq t us bcb | unit degf | kind analog,zoneTempSpLocal,zoneTempSp,5
heat cool,eq t us acbb acb | unit cool | kind binary,heatingEnable,hvacMode,5
heat cool,eq t us acb a acb | unit heat | kind binary,heatingEnable,hvacMode,5
sys ena,eq sf sw monitoring | unit on | kind binary,occupancyMode,systemEnable,5
rhc vlv cmd,eq vg outputs | unit percent | kind analog,heatingValve,reHeatingValve,4
oa dpr pos,eq wf m ahu ne | unit percent | kind analog,outsideDamperSp,outsideDamper,4
oa dpr pos,eq wf m ahu nw | unit percent | kind analog,outsideDamperSp,outsideDamper,4
oa dpr pos,eq wf m ahu se | unit percent | kind analog,outsideDamperSp,outsideDamper,4
oa dpr pos,eq wf ahu s | unit percent | kind analog,outsideDamperSp,outsideDamper,4
avg space temp,eq s | unit degf | kind analog,zoneTemp,zoneTempAvg,4
min cl vol sp,eq court rd floor | unit cfm | kind analog,coldDeckDischargeFlowMinSp,dischargeFlowCoolMinSp,4
act fl,eq dd d rm oa | unit cfm | kind analog,outsideFlow,dischargeFlow,4
act fl sp,eq dd d rm oa | unit cfm | kind analog,outsideFlowSp,dischargeFlowSp,4
chws sp,eq chilled water systems ch | unit degf | kind analog,evapLeavingTempSp,secLeavingTempSp,4
clg o,eq dole vav | unit percent | kind analog,coolingDemand,coolingValve,4
damper pos,eq sdva vs sdb a | unit percent | kind analog,coldDeckDamper,dischargeDamper,4
damper pos,eq vvoa | unit percent | kind analog,outsideDamperFb,dischargeDamper,4
oa dmp pos,eq fcu | unit percent | kind analog,outsideDamperFb,outsideDamper,4
hw pmp sts,eq ecb hw pumps | unit on | kind binary,secPumpStatus,heatingCoilPumpStatus,4
hw pmp cmd,eq ecb hw pumps | unit on | kind binary,secPump,heatingCoilPump,4
oa dpr pos,eq wf s ahu s | unit percent | kind analog,outsideDamperSp,outsideDamper,4
current,eq sandra day pp vfd | unit amps | kind analog,priPumpCurrent,secPumpCurrent,4
current,eq sandra day cwp vfd | unit amps | kind analog,condPumpCurrent,secPumpCurrent,4
damper pos,eq atu c | unit percent | kind analog,damper,dischargeDamper,4
co2 s,eq air handling systems a p | unit ppm | kind analog,returnCO2Sp,zoneCO2Sp,4
cooling,eq mnb ahc c | unit percent | kind analog,coolingValve,coolingStage,4
oa dmp pos,eq ahu | unit percent | kind analog,outsideDamperFb,outsideDamper,4
oa dmp min pos,eq fcu | unit percent | kind analog,outsideDamperMinSp,minOutsideDamper,4
oa dpr pos,eq wf m ahu sw | unit percent | kind analog,outsideDamperSp,outsideDamper,4
rhc vlv cmd,eq v6 nw outputs | unit percent | kind analog,heatingValve,reHeatingValve,4
rhc vlv cmd,eq v6 ne outputs | unit percent | kind analog,heatingValve,reHeatingValve,4
out,eq chw chwp chw pmp spd | unit percent | kind analog,secPumpSpeed,zoneTemp,4
rhc vlv cmd,eq ahub | unit percent | kind analog,heatingValve,reHeatingValve,4
vfd spd,eq chw system | unit rpm | kind analog,twrFanSpeedFb,dischargeFanSpeed,4
dat,eq mnb ahc c | unit degf | kind analog,ahuDischargeTemp,dischargeTemp,4
nci max flow,eq ncfb b service level b sl i5 | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,4
out,eq ahu p bldg dp spt | unit inwc | kind analog,buildingPressureSp,zoneTemp,4
chw vlv pos,eq wf s ahu s | unit percent | kind analog,coolingValveFb,coolingValve,4
out,eq ahu p static press setpoint | unit inwc | kind analog,dischargePressureSp,zoneTemp,4
heat cool,eq ahu vav fd w3 | unit heat | kind binary,heatingEnable,hvacMode,4
vlv comd,eq t us acbb | unit percent | kind analog,waterValve,heatingValve,4
vlv comd,eq level vav c | unit percent | kind analog,reHeatingValve,heatingValve,4
vfd running,eq george th fl r fan wall | unit running | kind binary,returnFanStatus,dischargeFanStatus,4
heat cool,eq ahu vav fd w1 | unit cool | kind binary,heatingEnable,hvacMode,4
vlv comd,eq level vav u2 | unit percent | kind analog,reHeatingValve,heatingValve,4
chw f,eq chilled water systems ch | unit galmin | kind analog,evapLeavingFlow,secLeavingFlow,4
output frequency,eq sandra day pp vfd | unit hz | kind analog,priPumpFrequency,twrFanFrequency,4
dmpr pos,eq dd d rm oa | unit percent | kind analog,outsideDamperFb,dischargeDamperFb,4
preheat temp,eq mnb ahc c | unit degf | kind analog,preHeatingTemp,heatingCoilDischargeTemp,4
heat cool,eq ahu vav fd e2 | unit cool | kind binary,heatingEnable,hvacMode,4
inlet dmp cmd,eq private office ahu vav | unit percent | kind analog,intakeDamper,dischargeDamper,4
output frequency,eq sandra day cwp vfd | unit hz | kind analog,condPumpFrequency,twrFanFrequency,4
vlv pos,eq level vav u2 | unit percent | kind analog,reHeatingValveFb,heatingValveFb,4
heat cool,eq ahu vav fd n2 | unit cool | kind binary,heatingEnable,hvacMode,4
return temp,eq general | unit degfalarminhibit | kind analog,zoneTemp,returnTemp,4
dmpr cmd,eq dd d rm oa | unit percent | kind analog,outsideDamper,dischargeDamper,4
heat cool,eq ahu vav fd n1 | unit heat | kind binary,heatingEnable,hvacMode,4
vlv pos,eq level vav j1 | unit percent | kind analog,reHeatingValveFb,heatingValveFb,4
vlv pos,eq level vav c | unit percent | kind analog,reHeatingValveFb,heatingValveFb,4
vlv comd,eq level vav j1 | unit percent | kind analog,reHeatingValve,heatingValve,4
min ht vol sp,eq court rd floor | unit cfm | kind analog,hotDeckDischargeFlowMinSp,dischargeFlowHeatMinSp,4
min flow stpt,eq denney second nass vavs | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowCoolMinSp,4
max flow,eq atu c | unit cfm | kind analog,dischargeFlowMaxSp,dischargeFlowCoolMaxSp,4
effclg sp,eq nd flr vav | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,4
ef sts,eq cb idf w | unit off | kind binary,dischargeFanStatus,exhaustFanStatus,4
max cl vol sp,eq court rd floor | unit cfm | kind analog,coldDeckDischargeFlowMaxSp,dischargeFlowCoolMaxSp,4
vlv pos,eq t us acbb | unit percent | kind analog,waterValveFb,heatingValveFb,4
zn t,eq ahu c | unit degc | kind analog,returnTemp,zoneTemp,4
hc vlv pos,eq fcu | unit percent | kind analog,heatingValveFb,heatingValve,4
cc vlv pos,eq fcu | unit percent | kind analog,coolingValveFb,coolingValve,4
cdsa tmp sp,eq flr bs ahus | unit degf | kind analog,dischargeTempSp,coldDeckDischargeTempSp,4
min flow sp,eq dd d rm oa | unit cfm | kind analog,outsideFlowMinSp,dischargeFlowMinSp,4
cd dmp pos,eq flr s sys vavsd | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,4
max flow sp,eq dd d rm oa | unit cfm | kind analog,outsideFlowMaxSp,dischargeFlowMaxSp,4
max inlet air flw sp,eq vav ne s ps | unit cfm | kind analog,dischargeFlowMinSp,dischargeFlowMaxSp,4
out,eq hvac re heat valve | unit percent | kind analog,reHeatingValve,zoneTemp,4
effhtg sp,eq nd flr vav | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,4
blr hws tmp,eq hws blr | unit degf | kind analog,leavingTemp,priLeavingTemp,3
blr hwr tmp,eq hws blr | unit degf | kind analog,enteringTemp,priEnteringTemp,3
cd dmp pos,eq flr n svav | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,3
cc tmp,eq ahu w1 | unit degf | kind analog,dischargeTemp,coolingCoilDischargeTemp,3
cc tmp,eq ahu e1 | unit degf | kind analog,dischargeTemp,coolingCoilDischargeTemp,3
boiler return temp,eq knslm cb ins | unit degf | kind analog,priEnteringTemp,enteringTemp,3
cd dmp pos,eq flr n vav a | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,3
min cl vol sp,eq cd west | unit cfm | kind analog,coldDeckDischargeFlowMinSp,dischargeFlowCoolMinSp,3
min cl vol sp,eq cd east | unit cfm | kind analog,coldDeckDischargeFlowMinSp,dischargeFlowCoolMinSp,3
zn t sp clg,eq nd flr fcu | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,3
zn t,eq ahu b | unit degc | kind analog,returnTemp,zoneTemp,3
zn t sp clg,eq st flr fc | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,3
ef s,eq dole ahu | unit off | kind binary,exhaustFan,exhaustFanStatus,3
hd dmp pos,eq flr n vav a | unit percent | kind analog,hotDeckDamperFb,hotDeckDamper,3
hd dmp pos,eq flr n svav | unit percent | kind analog,hotDeckDamperFb,hotDeckDamper,3
zn t sp htg,eq rd flr fv a1 | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,3
fan flow,eq q4 strob | kind analog,exhaustFlow,dischargeFlow,3
fan flow,eq q1 strob | kind analog,exhaustFlow,dischargeFlow,3
zn t sp clg,eq rd flr fv a1 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,3
ch en,eq emd chillers chillers | unit off | kind binary,chiller,chillerEnable,3
min flow stpt,eq denney second sdva vs | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowCoolMinSp,3
min ht vol sp,eq hd east | unit cfm | kind analog,hotDeckDischargeFlowMinSp,dischargeFlowHeatMinSp,3
max cl vol sp,eq cd west | unit cfm | kind analog,coldDeckDischargeFlowMaxSp,dischargeFlowCoolMaxSp,3
max cl vol sp,eq cd east | unit cfm | kind analog,coldDeckDischargeFlowMaxSp,dischargeFlowCoolMaxSp,3
ph t,eq ahu | unit degf | kind analog,preHeatingTemp,preHeatingCoilLeavingTemp,3
out,eq doas sf sts | unit running | kind binary,dischargeFanStatus,zoneTemp,3
heat cool,eq ahu vav fd e1 | unit cool | kind binary,heatingEnable,hvacMode,3
econ ena,eq ahu e | unit off | kind binary,cool,econEnable,3
ef sts,eq cb idf e | unit off | kind binary,dischargeFanStatus,exhaustFanStatus,3
output frequency,eq emd chillers emd pump drive | unit hz | kind analog,secPumpFrequency,twrFanFrequency,3
chlr ena,eq chilled water systems chl | unit off | kind binary,chillerEnable,chiller,3
min ht vol sp,eq hd west | unit cfm | kind analog,hotDeckDischargeFlowMinSp,dischargeFlowHeatMinSp,3
chw pmp cmd,eq chilled water systems chwp | unit off | kind binary,evapPump,secPump,3
motor current,eq emd chillers emd pump drive | unit amps | kind analog,secPumpCurrent,twrFanCurrent,3
chwp sts,eq chw ps | unit stopped | kind binary,priPumpStatus,secPumpStatus,3
hws tmp sp,eq hws | unit degf | kind analog,leavingTempSp,secLeavingTempSp,3
chws tmp sp,eq chilled water systems chl | unit degf | kind analog,evapLeavingTempSp,secLeavingTempSp,3
chwp o,eq emd chillers chillers | unit percent | kind analog,priPumpSpeed,evapPumpSpeed,3
chwr tmp,eq chilled water systems chl | unit degf | kind analog,evapEnteringTemp,secEnteringTemp,3
co2 sp,eq ecb ahu b | unit ppm | kind analog,zoneCO2Sp,returnCO2Sp,3
start stop,eq chiller | unit off | kind binary,chiller,priPump,3
chws tmp,eq chilled water systems chl | unit degf | kind analog,evapLeavingTemp,secLeavingTemp,3
heat cool,eq ahu vav fd n4 | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool,eq ahu vav fd n3 | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool,eq ahu vav fd n1 | unit cool | kind binary,heatingEnable,hvacMode,3
ret t,eq usfch basement hx | unit degf | kind analog,secEnteringTemp,returnTemp,3
pmp spd cmd,eq chw nla chwp | unit percent | kind analog,secPumpSpeed,condPumpSpeed,3
clg o,eq dole ftu a | unit percent | kind analog,coolingDemand,coolingValve,3
sys ena,eq hws | unit on | kind binary,heatingEnable,systemEnable,3
hw pmp sts,eq flr bn hw sys | unit on | kind binary,priPumpStatus,heatingCoilPumpStatus,3
nvo damper pos,eq ddb | unit percent | kind analog,damper,dischargeDamper,3
stm vlv,eq htg sys hx | unit percent | kind analog,heatingValveTwoThird,heatingValve,3
status,eq sandra day ch york elink | unit stopped | kind binary,chillerStatus,priPumpStatus,3
ct iso vlv cmd,eq chilled water systems ct | unit closed | kind binary,twrEnteringIsoValve,twrIsoValve,3
cwr t,eq chilled water systems ch | unit degf | kind analog,condLeavingTemp,condEnteringTemp,3
run sts,eq chw nla cwp | unit off | kind binary,condPumpStatus,chillerStatus,3
run stop cmd,eq ph eco fan sf | unit stop | kind binary,dischargeFan,condPump,3
sf low cmd,eq ptac s outputs | unit stop | kind binary,dischargeFanSpeedStage,dischargeFanSpeedMinSp,3
heat cool,eq ahu vav fd s3 | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool,eq ahu vav fd s1 | unit cool | kind binary,heatingEnable,hvacMode,3
out,eq ahu p ret dpr cmd | unit percent | kind analog,returnDamper,zoneTemp,3
heat cool,eq ahu vav frd s1 | unit cool | kind binary,heatingEnable,hvacMode,3
out,eq ddb nci unocc heat sp | unit degf | kind analog,unoccupiedHeatSp,zoneTemp,3
out,eq ddb nci unocc cool sp | unit degf | kind analog,unoccupiedCoolSp,zoneTemp,3
out,eq ddb nci occ heat sp | unit degf | kind analog,occupiedHeatSp,zoneTemp,3
out,eq ddb nci occ cool sp | unit degf | kind analog,occupiedCoolSp,zoneTemp,3
current,unit amps | kind analog,compCurrent,secPumpCurrent,3
current,eq sandra day ct vfd | unit amps | kind analog,twrFanCurrent,secPumpCurrent,3
hw pmp cmd,eq hot water systems hwp | unit off | kind binary,secPump,heatingCoilPump,3
d,eq rd flr fv a1 | unit percent | kind analog,dischargeDamper,damper,3
sf high cmd,eq ptac s outputs | unit stop | kind binary,dischargeFanSpeedStage,dischargeFanSpeedMaxSp,3
heat cool,eq t us acb a acb | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool,eq q3 fcu | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool mode,unit heating | kind binary,occupancyMode,hvacMode,3
heat cool,eq t us acbb | unit cool | kind binary,heatingEnable,hvacMode,3
rhc vlv cmd,eq v5 sw outputs | unit percent | kind analog,heatingValve,reHeatingValve,3
damper position,eq batfeva vs vav | kind analog,dischargeDamper,dischargeDamperFb,3
damper pos,eq sdva vs sdb b | unit percent | kind analog,coldDeckDamper,dischargeDamper,3
heat cool,eq ahu vav fd w3 | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool,eq ahu vav fd w2 | unit cool | kind binary,heatingEnable,hvacMode,3
heat cool,eq ahu vav fd w1 | unit heat | kind binary,heatingEnable,hvacMode,3
heat cool,eq t us acbb acb | unit heat | kind binary,heatingEnable,hvacMode,3
rhc vlv cmd,eq v5 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,3
rhc vlv cmd,eq v4 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,3
rhc vlv cmd,eq v3 se outputs | unit percent | kind analog,heatingValve,reHeatingValve,3
rhc vlv cmd,eq v3 ne outputs | unit percent | kind analog,heatingValve,reHeatingValve,3
damper pos,eq vav c | unit percent | kind analog,dischargeDamperFb,dischargeDamper,3
heat cool,eq q3 ahu | unit heat | kind binary,heatingEnable,hvacMode,3
heat cool,eq ahu vav fd w4 | unit heat | kind binary,heatingEnable,hvacMode,3
occ status,eq fc us fcu b | unit occupied | kind binary,occupancySensor,occupancyMode,3
cdsfvfd cmd,eq flr n ahu sys | unit running | kind binary,dischargeFan,coldDeckFan,3
zn t sp htg,eq nd flr fcu | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,3
zn t sp htg,eq st flr fc | unit degc | kind analog,zoneHeatSp,occupiedHeatSp,3
zn t sp clg,eq rd flr fv b1 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,2
out,eq vav sa temp | unit degf | kind analog,dischargeTemp,zoneTemp,2
out,eq vav nci unocc cool sp | unit degf | kind analog,unoccupiedCoolSp,zoneTemp,2
out,eq vav nci occ cool sp | unit degf | kind analog,occupiedCoolSp,zoneTemp,2
out,eq vav nci max cfmsp | unit cfm | kind analog,dischargeFlowMaxSp,zoneTemp,2
hd dmp pos,eq flr s sys vavdd | unit percent | kind analog,hotDeckDamperFb,hotDeckDamper,2
pre ht vlv cmd,eq ahu west | unit off | kind binary,heatingValve,minOutsideHeatingStage,2
pre ht vlv cmd,eq ahu e | unit on | kind binary,minOutsideDamper,minOutsideHeatingStage,2
act cool sp,eq penthouse ahu em | unit degf | kind analog,zoneTempSp,zoneCoolSp,2
fan spd,eq wf ct | unit percent | kind analog,twrFanSpeedFb,dischargeFanSpeed,2
fan command,eq ef ef | unit active | kind binary,exhaustFan,dischargeFanSpeed,2
zn t sp clg,eq rd flr fv a2 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,2
zn t sp clg,eq nd flr vav b | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,2
zn t sp clg,eq nd flr vav a | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,2
min flow stpt,eq denney third sdva vs | unit cfm | kind analog,dischargeFlowHeatSp,dischargeFlowCoolMinSp,2
ccfbd,eq air handling systems a p | unit psi | kind analog,faceBypassDamper,coolingValveFb,2
heat cool,eq ahu vav fd w5 | unit heat | kind binary,heatingEnable,hvacMode,2
heat cool,eq ahu vav fd w4 | unit cool | kind binary,heatingEnable,hvacMode,2
occ htg sp,eq vav | unit degf | kind analog,zoneHeatSp,occupiedHeatSp,2
cd dmp pos,eq flr s sys vavdd | unit percent | kind analog,coldDeckDamperFb,coldDeckDamper,2
blr hws tmp,eq hws | unit degf | kind analog,leavingTemp,priLeavingTemp,2
zn t sp clg,eq th flr vav a1 | unit degc | kind analog,zoneCoolSp,occupiedCoolSp,2
